name	alias
Interleukin - 2	Aldesleukin
Interleukin 2-high dose	Aldesleukin
Interleukin-12	Interleukin-12
Interleukin-2	Aldesleukin
Intrathecal Methotrexate	Methotrexate
Intron A	Interferon A
Investigal drug Avastin	Bevacizumab
Ipilimumab	Ipilimumab
Iressa	Gefitinib
Irinotecan	Irinotecan
Irinotecan + Cetuximab	Irinotecan+Cetuximab
Irinotecan HCL	Irinotecan
Irinotecan HCl	Irinotecan
Irinotecan Hydrochloride	Irinotecan
Irintocean	Irinotecan
Irintotecan	Irinotecan
Irintotecan	irinotecan
Irolfluvin	Irofulven
Ironotecan	Irinotecan
Ironotecan	irinotecan
Irressa	Gefitinib
Isotrectinoin (acccutane)	Isotretinoin
Isotretinoin	Isotretinoin
Ixabepilone	Ixabepilone
JQ1 (1)	NO-FIND
JQ1 (2)	NO-FIND
JQ1 1	NO-FIND
JQ1 2	NO-FIND
JW-7-24-1	NO-FIND
JW-7-52-1	NO-FIND
JW7521	JW7521
KARERLTECIN	karenitecin
KETOCONAZOLE	Ketoconazole
KIN001	NO-FIND
KIN001 236	NO-FIND
KIN001 244	NO-FIND
KIN001 260	NO-FIND
KIN001 266	NO-FIND
KIN001 270	NO-FIND
KIN001-236	NO-FIND
KIN001-244	NO-FIND
KIN001-260	NO-FIND
KIN001-266	NO-FIND
KIN001-270	NO-FIND
KIN001135	KIN001135
KU55933	KU55933
Karenitecin	Karenitecin
Karerltecin	Karenitecin
Ketoconazole	Ketoconazole
LAPATINIB	LAPATINIB
LENALIDOMIDE	Lenalidomide
LETROZOLE	Letrozole
LETROZOLE (FEMARA)	Letrozole
LEUCOVORIN	Leucovorin
LEUCOVORIN CALCIUM	Leucovorin
LEUPROLIDE ACETATE (LUPRON)	Leuprolide
LEUPRORELIN	Leuprorelin
LEVCOVORIN	Leucovorin
LEVENRACETAM	Levetiracetam
LEVETIRACETAM	Levetiracetam
LFMA13	LFMA13
LHRH Agonist	LHRH
LHRH Agonist and Anti-Androgens Combined Androgen Blockade	LHRH
LIOSOMAL DOCORUBICIN	Liposomal doxorubicin
LIPOSOMAL DOXORUBICAN	Liposomal doxorubicin
LIPOSOMAL DOXORUBICIN	Liposomal doxorubicin
LOMUSTIN	Lomustine
LOMUSTINE	Lomustine
LOMUSTINE (CCNU)	Lomustine
LUMUSTINE	Lomustine
LUPRON	Leuprolide
LY228820	LY228820
LY317615	Enzastaurin
Laferon	Interferon A
Lapatinib	Lapatinib
Lestauritinib	lestaurtinib
Letrozol	Letrozole
Letrozole	Letrozole
Letrozole (Femara)	Letrozole
Leucovorin	Leucovorin
Leucovorin Calcium	Leucovorin
Leucovorin calcium	Leucovorin
Leukine	Sargramostim
Leuocvorin	Leucovorin
Leuprolide	Leuprolide
Leuprolide Acetate	Leuprolide
Leuprolide acetate	Leuprolide
Leuprorelin	Leuprolide
Levcovorin	Leucovorin
Levcovorin	leucovorin
Levenracetam	Levetiracetam
Levothroid	Levothyroxine
Levothyroxine	Levothyroxine
Levoxyl	Levothyroxine
Liosomal	NO-FIND
Liosomal Docorubicin	Doxorubicin
Liposomal	liposomal vitamin c
Liposomal Doxorubican	Doxorubicin
Liposomal Doxorubican	liposomal doxorubicin
Liposomal Doxorubicin	Doxorubicin
Liposomal doxorubicin	Doxorubicin
Lomustin	Lomustine
Lomustine	Lomustine
Lomustine (CCNU)	Lomustine
Lumustine	lomustine
Luprolide Depot	Leuprolide
Lupron	Leuprolide
Lymphocyte	NO-FIND
Lymphocyte Infusion	NO-FIND
Lymphocyte Infusion	NOS
MAB I	MABI131
MAB I 131	MABI131
MAB I-131	MABI131
MAB I131	MABI131
MABI131	MABI131
MAGE-3	MAGE-3
MAGE3	mage3 graphite
MAGI131-81C6	MABI131
MAGI131-81c6	81C6
MARIMASTAT	Marimastat
MAb I	NO-FIND
MDX-1106 CLINICAL TRIAL	MDX-1106
MDX-1106 clinical trial	Nivolumab
MEGACE	Megestrol
MEGACE (ORAL)	Megestrol
MEL-44	Sargramostim
MELPHALAN	Melphalan
MELPHALON	Melphalan
MESNA	Mesna
MESNA-1	Mesna
MESNA-2	Mesna
METEXAFIN GADOLINIUM	MOTEXAFIN GADOLINIUM
METFORMIN	Metformin
METHOTREXATE	Methotrexate
METRONOMIC TEMODAR	Temozolomide
MG132	MG132
MGI 114	Irofulven
MGI 114	MGI-114
MIDOSTAURIN	Midostaurin
MITHRAMYCIN	Plicamycin
MITOMYCIN C	Mitomycin
MITOMYCINC	Mitomycin
MITOXANTRONE	Mitoxantrone
MK2206	MK-2206
MK2206	MK2206
MLN8237	Alisertib
MORAb-004	MORAb-004
MOTEXAFIN GADOLINIUM	Motexafin gadolinium
MOTEXATIN GADOINIUM	Motexafin gadolinium
MPS 1	NO-FIND
MPS-1-IN-1	NO-FIND
MR1-1	MR1-1
MS275	Entinostat
MU81C6	MU81C6
Mage A3	MAGE-A3
Mayo 425	NO-FIND
Mayo 425-20	NOS
Medrol	Methylprednisolone
Megace	Megestrol
Megace (oral)	Megestrol
Megestrol Acetate	Megestrol
Melphalan	Melphalan
Melphalon	Melphalan
Melphalon	melphalan
Mesna	Mesna
Metformin	Metformin
Methotrexate	Methotrexate
Mibefradil	mibefradil
Micomycin	Mitomycin C
Mithramycin	Plicamycin
Mitomycin	Mitomycin C
Mitomycin C	Mitomycin C
Mitoxantrone	Mitoxantrone
Motexatin Gadoinium	Motexafin gadolinium
Multi	NO-FIND
Mustophoran	Fotemustine
NAB-RAPAMYCIN	Rapamycin
NABIT	NO-FIND
NABTT	NO-FIND
NAVELBINE	Vinorelbine
NEULASTA	Pegfilgrastim
NEXAVAAR	Sorafenib
NEXAVAR	Sorafenib
NILOTINIB	Nilotinib
NOLVADEX	Tamoxifen
NPK76	NO-FIND
NSC87877	NSC87877
NU7441	NU7441
NUTLIN3A	Nutlin-3A
NVPBEZ235	NVPBEZ235
NVPTAE684	NVPTAE684
Navelbine	Vinorelbine
Naxavar	Sorafenib
Neulasta	Pegfilgrastim
Nexavaar	Sorafenib
Nexavaar	nexavar
Nexavar	Sorafenib
Nilutamide	Nilutamide
Nimustine	Nimustine
Nivolumab	Nivolumab
Nolvadex	Tamoxifen
Not otherwise	NO-FIND
Not otherwise specified	NO-FIND
Not otherwise specified	NOS
Not specified	NO-FIND
Not specified	NOS
O ICE	Ifosfamide+Carboplatin+Etoposide
O-ICE	Ifosfamide+Carboplatin+Etoposide
O6BG	O6BG
OBATOCLAXMESYLATE	Obatoclax mesylate
ONYX-015	ONYX-015
ORAL ETOPOSIDE	Etoposide
OS1-774	Tarceva
OSI906	Linsitinib
OVAREX MA6 B43.13	ovarex
OVAREX STUDY	ovarex
OVAREX/IND	ovarex
OVAREX/PLACEBO	ovarex
OXALIPLATIN	Oxaliplatin
OXALIPLATINUM	Oxaliplatin
OXCARBAZEPINE	Oxcarbazepine
Oca Rex Oregovomab	Oregovomab
Ofatumumab	Ofatumumab
Oncophage	Vitespen
Oncovin	Vincristine
Oral Etoposide	Etoposide
Ovarex MA6 B43.13	Oregovomab
Ovarex Study	Oregovomab
Ovarex/IND	Oregovomab
Ovarex/Placebo	Oregovomab
Ovarex/placebo	Oregovomab
Oxaliplatin	Oxaliplatin
Oxaliplatin, Folinic acid, Fluorouracil	Oxaliplatin+Leucovorin+Fluorouracil
Oxaliplatinum	Oxaliplatin
Oxaloplatin	Oxaliplatin
PACILATXEL	Paclitaxel
PACILTAXAL	Paclitaxel
PACILTAXEL	Paclitaxel
PACILTAXLE	Paclitaxel
PACITAXEL	Paclitaxel
PACLIATXEL	Paclitaxel
PACLILTAXEL	Paclitaxel
PACLITAXEL	Paclitaxel
PACLITAXEL (PROTEIN-BOUND)	Paclitaxel
PACLITAXEL; ALBUMIN-BOUNT	Paclitaxel
PACLITAXIL	Paclitaxel
PANITUMUMAB	Panitumumab
PANZEM	Panzem
PARAPLATIN	Carboplatin
PARAPLATIN	PARAPLATIN
PARTHENOLIDE	Parthenolide
PATUPILONE	PATUPILONE
PAXLITAXEL	Paclitaxel
PAZOPANIB	Pazopanib
PCV	Procarbazine+Lomustine+Vincristine
PD 0332991	Palbociclib
PD0325901	PD0325901
PD0332991	PD0332991
PD173074	PD173074
PEGFILGRASTIM	Pegfilgrastim
PEGFILGRASTIM (PEG G-CSF)	Pegfilgrastim
PEMETHEXED	Pemetrexed
PEMETREXED	Pemetrexed
PEMETREXED DISODIUM	Pemetrexed
PEP3 KLH	PEP-3-KLH
PERIFOSINE	Perifosine
PF02341066	crizotinib
PF2341066	crizotinib
PF562271	PF562271
PHA665752	PHA665752
PHENYTOIN SODIUM	PHENYTOIN SODIUM
PI88	PI-88
PLFE	PLFE
PLFE/FLO	PLFE+Leucovorin+Fluorouracil+Oxaliplatin
PLX4720	PLX4720
PNU-159548	PNU-159548
PORTEC3-radiation alone	NOS
PREDNISONE	Prednisone
PREMETREXED	Pemetrexed
PROCARBAZINE	Procarbazine
PROCARBAZINE/CCNU/VINCRISTINE	Procarbazine
PROCARBIZINE	Procarbazine
PROLEUKIN	Proleukin
PROLEUKIN (IL-2)	Proleukin
PROVERA	Medroxyprogesterone
PS 341	Bortezomib
PS-341 BORTREZOMIB	Bortezomib
PS-341 Bortrezomib	Bortezomib
PSC833	PSC833
PSC833	Valspodar
PSMA DNA Vaccine	PSMA DNA Vaccine
PTK-ZK	Vatalanib
PV-10	PV-10
PYRAZINAMIDE	Pyrazinamide
PYRIMETHAMINE	Pyrimethamine
Pacilatxel	Paclitaxel
Paciltaxal	Paclitaxel
Paciltaxel	Paclitaxel
Paciltaxle	Paclitaxel
Pacitaxel	Paclitaxel
Pacitaxol	Paclitaxel
Pacliatxel	Paclitaxel
Pacliltaxel	Paclitaxel
Paclitaxel	Paclitaxel
Paclitaxel (Protein-Bound)	Paclitaxel
Paclitaxel; Albumin-Bount	Paclitaxel
Paclitaxil	Paclitaxel
Paclitaxol	Paclitaxel
Palixtaxel	Paclitaxel
Pamidronate	Pamidronate
Pamidronic acid	Pamidronate
Panitumumab	Panitumumab
Paraplatin	Carboplatin
Patrin	Lomeguatrib
Patupilone	Patupilone
Pazopanib	Pazopanib
Pegfilgrastim	Pegfilgrastim
Pegfilgrastim (Peg G-CSF)	Pegfilgrastim
Pembrolizumab	Pembrolizumab
Pemetrexed	Pemetrexed
Pemetrexed (Alimta)	Pemetrexed
Pemetrexed disodium	Pemetrexed
Perifosine	Perifosine
Placebo	NO-FIND
Platinol	Cisplatin
Platinum	Platinum
Poly E	Poly E
Polyplatillen	Cisplatin
Porfimer Sodium (Photofin)	Porfimer
Porfimer Sodium (Photofrin)	Porfimer
Porfimer Sodium(Photofin)	Porfimer
Posidum	NO-FIND
Predisone	Prednisone
Prednisolone	Prednisolone
Prednisone	Prednisone
Procarbazine	Procarbazine
Procarbizine	Procarbazine
Procarbizine	procarbazine
Proleukin	Aldesleukin
Protocol	NO-FIND
Provera	Medroxyprogesterone
Pyrazinamide	Pyrazinamide
QL VIII	NO-FIND
QL XI	NO-FIND
QL XII	NO-FIND
QL-VIII-58	NO-FIND
QL-X-138	NO-FIND
QL-XI-92	NO-FIND
QL-XII-47	NO-FIND
QL-XII-61	NO-FIND
R1507	Teprotumumab
RAD001	Everolimus
RAPAMCYIN	Sirolimus
RAPAMYCIN	Sirolimus
RBBX 01	RBBX 01
RBBX 01	rBBX-01
RDEA119	RDEA119
REINOID/CIS RETINOIC ACID	Cis Retinoic Acid
RITUXIMAB	Rituximab
RO3306	RO3306
ROFERON-A	ROFERON-A
ROSCOVITINE	Seliciclib
Raltitrexed	Raltitrexed
Rapamcyin	rapamycin
Ras Inhibitor	NO-FIND
Regorafenib	Regorafenib
Reinoid	retinoid
Reinoid/CIS retinoic acid	retinoid
RenAmin	Amino Acids
Reolysin	Reolysin
Resiquimod	Resiquimod
Revlimid	Lenalidomide
Rhumab	Erlizumab
Rituxan	Rituximab
Rituximab	Rituximab
Roferon-A	Interferon A
SAHA	Vorinostat
SAHA/Vorinostat	Vorinostat
SALUBRINAL	Salubrinal
SARASAR	SARASAR
SARGRAMOSTIN	SARGRAMOSTIN
SB216763	SB216763
SB590885	SB590885
SCH 58500	NO-FIND
SCH 58500	SCH 58500
SCH 58500	SCH58500
SCH63666	SCH63666
SCH66336	Lonafarnib
SCH6636	SCH6636
SHIKONIN	Shikonin
SIROLIMUS	Sirolimus
SL01011	SL01011
SNS 595	Voreloxin
SNS 595	Vosaroxin
SOM 230	Pasireotide
SORAFENIB	Sorafenib
SORAFENIB (BAY 43-9006)	Sorafenib
SORAFENIB - NEXAVAR	Sorafenib
SOVATENIB	Sorafenib
STREPTOZOCIN	STREPTOZOCIN
STRITYLLCYSTEINE	STRITYLLCYSTEINE
STUDY DRUG AMG 655	NA
SU101	leflunomide
SUNITINIB	Sunitinib
SUNITINIB (SUTENT)	Sunitinib
SURAMIN	SURAMIN
SUTENT	Sunitinib
SUTENT (SUNITINIB)	Sunitinib
SYNTHROID	Levothyroxine
Sarafenib	Sorafenib
Sargramostin	Sargramostim
Sargramostin	sargramostim
Sorafenib	Sorafenib
Sorafenib (Bay 43-9006)	Sorafenib
Sorafenib - Nexavar	Sorafenib
Sorafinib ( Nexavar)	Sorafenib
Study	NO-FIND
Study drug	study drugs
Study drug AMG 655	Conatumumab
Sulindac	Sulindac
Sunitinib	Sunitinib
Suramin	Suramin
Sutent	Sunitinib
Sutent (Sunitinib)	Sunitinib
Sylatron	Peginterferon alfa-2a
Synthroid	Levothyroxine
TAE684	NA
TAMOXIFEN	Tamoxifen
TAMOXIFEN & MEGACE	NA
TAMOXIFEN (NOVADEX)	Tamoxifen
TAMOXITEN	Tamoxifen
TANCEVA	Erlotinib
TARCEVA	Erlotinib
TARVECA	Erlotinib
TAXANE	NA
TAXOL	Paclitaxel
TAXOL OR TAXOTERE	NA
TAXOL/CARBOPLATIN	Paclitaxel+Carboplatin
TAXOTERE	Docetaxel
TAXOTERECIN	Docetaxel
TC	Docetaxel+Cyclophosphamide
TCH	Docetaxel+Carboplatin+Trastuzumab
TEMADOR	Temozolomide
TEMAZOLOMIDE	Temozolomide
TEMODAR	Temozolomide
TEMODAR (ESCALATION)	Temozolomide
TEMODOR	Temozolomide
TEMOXOLOMIDE	Temozolomide
TEMOZLOMIDE	Temozolomide
TEMOZOLAMIDE	Temozolomide
TEMOZOLOMIDE	Temozolomide
TEMOZOLOMOIDE	Temozolomide
TEMOZOMIDE	Temozolomide
TEMSIROLIMUS	Temsirolimus
TEMUDAR	Temozolomide
THALIDOMIDE	Thalidomide
THALOMID	Thalidomide
THAPSIGARGIN	THAPSIGARGIN
TIPFARNIB (R115777)	Tipifarnib
TIPIFARNIB	Tipifarnib
TIPIFARNIB (R115777)	Tipifarnib
TL-1-85	NO-FIND
TL-2-105	NO-FIND
TL32711	Birinapant
TOMAXIFEN	Tamoxifen
TOPECAN	TOPOTECAN
TOPETECAN	TOPOTECAN
TOPOTECAN	TOPOTECAN
TOPOTECAN HCL	TOPOTECAN
TOPOTECAN/CARBOPLATIN	TOPOTECAN+CARBOPLATIN
TOPTECAN	TOPOTECAN
TORISEL	Temsirolimus
TOXOTERE	Docetaxel
TRABECTEDIN	Trabectedin
TRANSTUZUMAB	TRASTUZUMAB
TRASTUZUMAB	TRASTUZUMAB
TRASTUZUMAB	Trastuzumab
TRIPTORELIN	Triptorelin
TS-1	Tegafur+Gimeracil+Oteracil
Talimogene Laherparepvec (T-VEC)	Talimogene
Tamoxifen	Tamoxifen
Tamoxifen & Megace	Tamoxifen+Megestrol
Tamoxiten	Tamoxifen
Tamoxiten	tamoxifen
Tanceva	Erlotinib
Tarceva	Erlotinib
Tarceva (Erlotinib)	Erlotinib
Tarceva/Erlotinib	Erlotinib
Tarveca	tarceva
Taxane	NOS
Taxel	Paclitaxel
Taxol	Paclitaxel
Taxol or Taxotere	NOS
Taxol/Carboplatin	Paclitaxel+Carboplatin
Taxotere	Docetaxel
Taxotere/Cytoxan	Docetaxel+Cyclophosphamide
Taxoterecin	Docetaxel
Temazolomide	Temozolomide
Temazolomide	temozolomide
Temodal	Temozolomide
Temodar	Temozolomide
Temodor	temodar
Temoxolomide	temozolomide
Temozlomide	Temozolomide
Temozlomide	temozolomide
Temozolamide	Temozolomide
Temozolomide	Temozolomide
Temozolomode	temozolomide
Temozomide	Temozolomide
Temozomide	temozolomide
Temsirolimus	Temsirolimus
Teniposide	Teniposide
Tesetaxel	Tesetaxel
Tetrathiomolybdate	Tiomolibdate
Thalidomide	Thalidomide
Themozolomide	Temozolomide
Thiguanine	thioguanine
ThioTepa	Thiotepa
Threshold-302	Evofosfamide
Tipifarnib	Tipifarnib
Tivantinib (ARQ-197)	Tivantinib
Tivozanib	Tivozanib
Tomaxifen	Tamoxifen
Tomaxifen	tamoxifen
Topecan	Topotecan
Topecan	topotecan
Topetecan	Topotecan
Topotecan	Topotecan
Topotecan HCL	Topotecan
Topotecan HCl	Topotecan
Topotecan/Carboplatin	Topotecan+Carboplatin
Toptecan	Topotecan
Toptecan	topotecan
Torisel	Temsirolimus
Trabectedin	Trabectedin
Trametinib	Trametinib
Trastuzumab	Trastuzumab
Trelstar	Triptorelin
Trenantone	Leuprolide
Treosulfan	Treosulfan
Triptorelin	Triptorelin
Trustuzumab	Trastuzumab
Trustuzumab	trastuzumab
Tyrosine kinase inhibitor	NOS
Unkown	NOS
VALPROIC ACID	VALPROIC ACID
VAMYDEX	VAMYDEX
VANDETANIB	Vandetanib
VATALANIB (PTK787)	Vatalanib
VECTIBIX	Panitumumab
VEGF-TRAP	Aflibercept
VELCADE	Bortezomib
VEMURAFENIB	Vemurafenib
VINBLASTINE	VINBLASTINE
VINCRISTIN	Vincristine
VINCRISTINE	Vincristine
VINORELBINE	Vinorelbine
VINORELBINE TARTRATE	Vinorelbine
VMCL	VMCL
VNLG 124	NO-FIND
VNLG/124	NO-FIND
VORINOSTAT	Vorinostat
VOTRIENT	Pazopanib
VP 16	Etoposide
VP 16 (ETOPOSIDE)	Etoposide
VP-16	Etoposide
VP16	Etoposide
VX680	VX680
VX702	VX702
Vaccine	vaccine
Valproic Acid	Valproic Acid
Vamydex	Vamydex
Velcade	Dortezomib
Vemurafenib	Vemurafenib
Vepesid	Etoposide
Vinblastine	Vinblastine
Vincristine	Vincristine
Vincristine (sulfate)	Vincristine
Vinorelbin	Vinorelbine
Vinorelbin Tartrate	Vinorelbine
Vinorelbine	Vinorelbine
Vinorelbine Tartrate	Vinorelbine
Vorinostat	Vorinostat
Votrient	Pazopanib
WH4023	WH4023
WT-1 Vaccine	WT-1 Vaccine
WZ-1-84	NO-FIND
WZ184	WZ184
Wafer	NO-FIND
X17AAG	X17AAG
X681640	X681640
XELODA	Capecitabine
XELODA (CAPECITABINE)	Capecitabine
XMD11	NO-FIND
XMD11 85h	NO-FIND
XMD11-85h	NO-FIND
XMD13	NO-FIND
XMD13 2	NO-FIND
XMD13-2	NO-FIND
XMD15	NO-FIND
XMD15 27	NO-FIND
XMD15-27	NO-FIND
XMD8 85	NO-FIND
XMD8-85	NO-FIND
XMD885	XMD885
XYOTAX	paclitaxel poliglumex
Xeloda	Capecitabine
Xeloda (Capecitabine)	Capecitabine
Xeloda(capecitabine)	Capecitabine
Xelox	Capecitabine+Oxaliplatin
Xgeva	Denosumab
Xyotax	Paclitaxel
Yervoy	Ipilimumab
Yondelis	Trabectedin
ZD6474	Vandetanib
ZG 10	NO-FIND
ZG-10	NO-FIND
ZM447439	ZM447439
ZOLADEX	goserelin
ZOLEDRONIC ACID	Zoledronic acid
ZOLEDRONIC ACID	zoledronate
ZOLENDRONIC ACID	zoledronate
ZOMETA	ZOMETA
Zofran	Ondansetron
Zoladex	Goserelin
Zoledronic Acid	Zoledronic acid
Zoledronic acid	Zoledronic acid
Zometa	Zoledronic acid
abraxane	Paclitaxel
ac	Doxorubicin+Cyclophosphamide
acccutane	accutane
actinomycin d	Dactinomycin
adriamicin	Doxorubicin
adriamicin	adriamycin
adriamycin	Doxorubicin
adriamycin+cuclophosphamide	Doxorubicin+Cyclophosphamide
adriamycin+cyclophosphamid	Doxorubicin+Cyclophosphamide
adriamycin+cyclophosphamide	Doxorubicin+Cyclophosphamide
adrimicin+cyclophosphamide	Doxorubicin+Cyclophosphamide
adrimycin+cyclophosphamide	Doxorubicin+Cyclophosphamide
alimta	Pemetrexed
anastrazolum	anastrozole
anastrozolum	Anastrozole
anastrozolum	anastrozole
arimidex	Anastrozole
aromasin	Exemestane
aromatase exemestane	Exemestane
autologous vaccine	ATCV
avastin	Bevacizumab
azaTHIOprine	Azathioprine
bevacizumab	Bevacizumab
bleomycin	Bleomycin
cabazitaxel	Cabazitaxel
camptosar	Irinotecan
capecitabine	Capecitabine
carbopaltin	Carboplatin
carboplatin	Carboplatin
carboplatinum	Carboplatin
casodex	Bicalutamide
cetuximab	Cetuximab
ciclofosfamida	Cyclophosphamide
cis-retinoic acid	Isotretinoin
cisplatim	Cisplatin
cisplatin	Cisplatin
cisplatinum	Cisplatin
clodronate	Clodronate
clodronic acid	Clodronate
cyclophosphamid	Cyclophosphamide
cyclophosphamide	Cyclophosphamide
cyclophosphamide+methotrexatum+fluorouracillum	Cyclophosphamide+Methotrexatum+Fluorouracil
cyclophosphamide, vincristine, and dacarbazine	Cyclophosphamide+Vincristine+Dacarbazine
cyclophosphamidum	Cyclophosphamide
cytarabine	Cytarabine
cytomel	Liothyronine
cytoxan	Cyclophosphamide
dacarbazine	Dacarbazine
dasatinib	Dasatinib
dcVax	NO-FIND
decadron	Dexamethasone
degarelix	Degarelix
dexamethasone	Dexamethasone
discido	NO-FIND
docetaxel	Docetaxel
doxil	Doxorubicin
doxorubicin	Doxorubicin
doxorubicin HCL	Doxorubicin
doxorubicin+ cyclophosphamide	Doxorubicin+Cyclophosphamide
doxorubicin+cyclophosphamid	Doxorubicin+Cyclophosphamide
doxorubicina	Doxorubicin
doxorubicine	Doxorubicin
doxorubicine cyclophosphamide tamoxifen	Doxorubicin+Cyclophosphamide+Tamoxifen
doxorubicine+cyclophosphamide	Doxorubicin+Cyclophosphamide
doxorubicine+cyclophosphamide+tamoxifen	Doxorubicin+Cyclophosphamide+Tamoxifen
epirubicin	Epirubicin
epirubicinum	Epirubicin
erbitux	Cetuximab
etoposide	Etoposide
etoposide (VP-16)	Etoposide
everolimus	Everolimus
faslodex	Fulvestrant
femara	Letrozole
fluorouracil	Fluorouracil
fluorouracilum	Fluorouracil
folinian	Leucovorin
folinic acid	Leucovorin
fosaprepitant	Fosaprepitant
fotemustine	Fotemustine
fulvestrant	Fulvestrant
gemcitabine	Gemcitabine
gemcitabine HCL	Gemcitabine
gemzar	Gemcitabine
herceptin	Trastuzumab
ifosfamide	Ifosfamide
imatinib	Imatinib
interferon	NOS
interferon alpha	Interferon A
interferon-alpha	Interferon A
interleukin-2	Aldesleukin
intrathecal methotrexate	Methotrexate
intron a	Interferon A
ipilimumab	Ipilimumab
irinotecan	Irinotecan
jevtana	Cabazitaxel
ketoconazole	Ketoconazole
lapatinib	Lapatinib
letrozole	Letrozole
letrozole femara	Letrozole
letrozolum	Letrozole
leucovorin	Leucovorin
leucovorin calcium	Leucovorin
leuprolide	Leuprolide
levothyroxine	Levothyroxine
levoxyl	Levothyroxine
lomustine	Lomustine
lupron	Leuprolide
melphalan	Melphalan
methotrexate	Methotrexate
methotrexate+5 fluorouracil+cyclophosphamide	Methotrexate+Fluorouracil+Cyclophosphamide
metilprednisona	Methylprednisolone
metotreksat	Methotrexate
mitotane	Mitotane
nab-rapamycin	Rapamycin
name	alias
navelbine	Vinorelbine
neulasta	Pegfilgrastim
nivolumab	Nivolumab
nolvadex	Tamoxifen
oncophage vaccine	Vitespen
otherwise	NO-FIND
oxaliplatin	Oxaliplatin
oxaliplatinum + 5-FU	Oxaliplatin+Fluorouracil
oxaliplatinum+ 5-FU	Oxaliplatin+Fluorouracil
oxaliplatinum+5 fluorouracilum	Oxaliplatin+Fluorouracil
oxaliplatinum+5-FU	Oxaliplatin+Fluorouracil
paclitaxel	Paclitaxel
paclitaxelum	Paclitaxel
panitumumab	Panitumumab
pazopanib	Pazopanib
pembrolizumab	Pembrolizumab
pemetrexed	Pemetrexed
pemetrexed disodium	Pemetrexed
platinum	Platinum
prednisona	Prednisone
premetrexed	Pemetrexed
procarbazine	Procarbazine
proleukin (IL-2)	Aldesleukin
px-866	px-866
rTRAIL	trail blazers
raloxifene	Raloxifene
rec MAGE	MAGE-3-AS-AS15-ASCI
rec MAGE 3-AS + AS15 ACS1 / Placebo Vaccine	MAGE-3-AS-AS15-ASCI
rec MAGE3-AS+AS15 ASCI vs Placebo	MAGE-3-AS-AS15-ASCI
recMAGE- A3	MAGE-A3
recMAGE3-AS+AS15 ASCI/Placebo vaccine	MAGE-3-AS-AS15-ASCI
recPRAME+AS15	GSK2302025A
recPRAME+AS15 ASCI	GSK2302025A
regorafenib	Regorafenib
retinoic	retinoic acid
rigosertib	Rigosertib
rituximab	Rituximab
sorafenib	Sorafenib
specified	NO-FIND
streptozocin	Streptozocin
sunitinib	Sunitinib
sunitinib (sutent)	Sunitinib
sutent	Sunitinib
sutent (sunitinib)	Sunitinib
synthroid	Levothyroxine
tamoxifen	Tamoxifen
tamoxifen citrate	Tamoxifen
tamoxiphen	tamoxifen
tamoxiphen+anastrazolum	Tamoxifen+Anastrozole
tamoxiphene	Tamoxifen
tamoxiphene	tamoxifen
tamoxiphene+anastrozolum	Tamoxifen+Anastrozole
tamoxiphene+leuporeline+gosereline	Tamoxifen+Leuprolide+Goserelin
taxol	Paclitaxel
taxol+adriamycin+cyclophosphamide+herceptin	Paclitaxel+Doxorubicin+Cyclophosphamide+Trastuzumab
taxotere	Docetaxel
tc	Docetaxel+Cyclophosphamide
temodar	Temozolomide
temozolomide	Temozolomide
temsirolimus	Temsirolimus
thalidomide	Thalidomide
topotecan	Topotecan
trabectedin	Trabectedin
trastuzumab	Trastuzumab
triptorelin	Triptorelin
vaccine	vaccine
vectibix	Panitumumab
vemurafenib	Vemurafenib
vinblastine	Vinblastine
vincristina	Vincristine
vincristine	Vincristine
xeloda	Capecitabine
zoledronic acid	Zoledronic acid
