"1	CID1
"16	CID16
XE-991	CID656732
XL-647	CID10458325
XL388	CID59604787
XL888	CID57748689
Y-134	CID11784736
Y-26763	CID121878
Y-27152	CID6918184
Y-27632	CID448042
Y-320	CID22227931
Y-39983	CID11507964
YM-155	CID11178236
YM-201636	CID9956222
YM-511	CID177865
YM-58483	CID2455
YM-976	CID6604918
YM022	CID122130
YO-01027	CID11454028
YS-035	CID6917841
Z160	CID4988454
ZAPA	CID6604703
ZCL-278	CID1791111
ZD-2079	CID158793
ZD-7155	CID4673492
ZD-7288	CID3938007
ZK-164015	CID9806489
ZK-200775	CID208953
ZK-93423	CID121926
ZK-93426	CID115210
ZK811752	CID512282
ZLN005	CID899323
ZM-226600	CID5240098
ZM-241385	CID176407
ZM-306416	CID5329006
ZM-323881	CID16759369
ZM-336372	CID5730
ZM-447439	CID9914412
ZSTK-474	CID11647372
abacavir	CID441300
abafungin	CID159326
abametapir	CID15664
abemaciclib	CID46220502
abiraterone	CID132971
abiraterone-acetate	CID9821849
acadesine	CID17513
acalabrutinib	CID71226662
acamprosate	CID71158
acarbose	CID41774
acebutolol	CID1978
acecainide	CID4342
aceclidine	CID1979
aceclofenac	CID71771
acedapsone	CID6477
acedoben	CID19266
acefylline	CID69550
aceglutamide	CID182230
acemetacin	CID1981
aceneuramic-acid	CID14017587
acenocoumarol	CID54676537
acepromazine	CID6077
acesulfame-potassium	CID23683747
acetanilide	CID904
acetarsol	CID1985
acetazolamide	CID1986
acetohexamide	CID1989
acetohydroxamic-acid	CID1990
acetophenazine	CID17676
acetyl-farnesyl-cysteine	CID6438381
acetyl-l-leucine	CID70912
acetylcholine	CID187
acetylcysteine	CID12035
acexamic-acid	CID2005
acifran	CID51576
acipimox	CID5310993
acitazanolast	CID2006
acitretin	CID5284513
acivicin	CID40467943
aclidinium	CID11434515
acrivastine	CID5284514
actarit	CID2018
actinoquinol	CID23674
acyclovir	CID135398513
adapalene	CID60164
adarotene	CID9864378
adatanserin	CID130918
adefovir	CID60172
adefovir-dipivoxil	CID60871
adenine	CID190
adenosine	CID60961
adenosine-phosphate	CID6083
adenosine-triphosphate	CID5957
adiphenine	CID2031
adiporon	CID16307093
adoprazine	CID9887537
adrafinil	CID3033226
adrenalone	CID7436
adrenosterone	CID223997
afalanine	CID2000
afatinib	CID10184653
afloqualone	CID2040
afobazole	CID9862937
agmatine	CID199
agomelatine	CID82148
ajmaline	CID6100671
aklomide	CID2075
alacepril	CID71992
alagebrium	CID216305
alaproclate	CID2081
alarelin	CID9855027
albendazole	CID2082
albendazole-oxide	CID83969
albuterol	CID2083
alcaftadine	CID19371515
alclofenac	CID30951
alclometasone-dipropionate	CID636374
alcuronium	CID21158560
alectinib	CID49806720
alendronate	CID17684448
alexidine	CID2090
alfacalcidol	CID5282181
alfaxalone	CID104845
alfuzosin	CID2092
algestone-acetophenide	CID102011
alibendol	CID71916
alimemazine	CID5574
alisertib	CID24771867
aliskiren-hemifumarate	CID6918427
alizapride	CID135413504
alizarin	CID6293
allantoin	CID204
allopurinol	CID135401907
allopurinol-riboside	CHEMBL1213178
allylisothiocyanate	CID5971
allylthiourea	CID1549517
almitrine	CID33887
almorexant	CID23727689
almotriptan	CID123606
aloe-emodin	CID10207
alogliptin	CID11450633
aloperine	CID162147
alosetron	CID2099
aloxistatin	CID65663
alpelisib	CID56649450
alpha-linolenic-acid	CID5280934
alpha-tochopheryl-acetate	CID2117
alprenolol	CID2119
alprostadil	CID5280723
alrestatin	CID2120
altanserin	CID3033677
althiazide	CID2122
altinicline	CID3036156
altrenogest	CID10041070
altretamine	CID2123
alverine	CID3678
alvespimycin	CID5288674
alvimopan	CID51397022
alvocidib	CID5287969
amantadine	CID2130
ambazone	CID1549158
ambenonium	CID2131
ambrisentan	CID6918493
ambroxol	CID2132
amcinonide	CID443958
ameltolide	CID13086
amfenac	CID2136
amfepramone	CID7029
amflutizole	CID54833
amibegron	CID3035442
amidopyrine	CID6009
amifampridine	CID5918
amikacin	CID37768
amiloride	CID16231
amineptine	CID38988248
aminocaproic-acid	CID564
aminoglutethimide	CID2145
aminoguanidine	CID2146
aminopentamide	CID22565
aminophylline	CID9433
aminosalicylate	CID2724368
aminothiazole	CID2155
amiodarone	CID2157
amiprilose	CID9798098
amisulpride	CID2159
amitifadine	CID11658655
amitriptyline	CID2160
amlexanox	CID2161
amlodipine	CID2162
ammonium-lactate	CID10129918
amodiaquine	CID2165
amonafide	CID50515
amorolfine	CID54260
amoxapine	CID2170
amoxicillin	CID40467057
ampalex	CID148184
amperozide	CID73333
ampicillin	CID7048611
amprenavir	CID65016
amprolium	CID73341
amrinone	CID3698
amsacrine	CID2179
amthamine	CID126688
amtolmetin-guacil	CID65655
amuvatinib	CID11282283
amygdalin	CID656516
amyleine	CID10767
amylene-hydrate	CID6405
anabasine	CID2181
anacetrapib	CID11556427
anagrelide	CID135409400
anamorelin	CID9828911
anandamide	CID5281969
anastrozole	CID2187
andarine	CID9824562
andrographolide	CID5318517
androstenone	CID6852393
androsterone	CID5879
anecortave-acetate	CID111332
anethole-trithione	CID2194
anguidine	CID91518
anidulafungin	CID166548
aniracetam	CID2196
anisodamine	CID6918612
anisomycin	CID253602
anisotropine	CID91405
anpirtoline	CID65854
antazoline	CID2200
apabetalone	CID135564749
apafant	CID65889
apalutamide	CID24872560
apatinib	CID45139106
aphidicolin	CID457964
apigenin	CID5280443
apixaban	CID10182969
apocynin	CID2214
apraclonidine	CID2216
apratastat	CID11452716
apremilast	CID11561674
aprepitant	CID135413536
apricitabine	CID455041
aprindine	CID2218
aptiganel	CID60840
arbutin	CID440936
arctigenin	CID64981
ardeparin	CID772
arecaidine-but-2-ynyl-ester	CID4214594
arecaidine-propargyl-ester	CID2229
arecoline	CID2230
argatroban	CID92722
arglabin	CID5574924
aripiprazole	CID60795
armodafinil	CID9690109
arofylline	CID166553
arotinolol	CID2239
arsanilic-acid	CID6432805
artemisinin	CID68827
artesunate	CID6917864
articaine	CID32170
asaraldehyde	CID20525
ascorbic-acid	CID54670067
asenapine	CID3036780
asiatic-acid	CID119034
aspartame	CID6992066
aspirin	CID2244
astemizole	CID2247
astragaloside-a	CID13943299
asunaprevir	CID16076883
ataluren	CID11219835
atazanavir	CID148192
atenolol-(+/-)	CID2249
atenolol-(-)	CID2249
atglistatin	CID71699712
atipamezole	CID71310
atiprimod	CID129869
atizoram	CID9861730
atomoxetine	CID54841
atorvastatin	CID60823
atovaquone	CID74989
atrasentan	CID159594
atropine	CID174174
aurora-a-inhibitor-i	CID44139710
avagacestat	CID46883536
avanafil	CID9869929
avasimibe	CID166558
avatrombopag	CID9852519
avibactam	CID90333665
avobenzone	CID51040
axitinib	CID6450551
azacitidine	CID9444
azacyclonol	CID15723
azalomycin-b	CID6444206
azaperone	CID15443
azasetron	CID2264
azatadine	CID19861
azathioprine	CID2265
azelaic-acid	CID2266
azelastine	CID2267
azeliragon	CID11180124
azelnidipine	CID65948
azilsartan	CID135415867
azilsartan-medoxomil	CID135409642
azimilide	CID9571004
azithromycin	CID447043
azlocillin	CID6479523
azodicarbonamide	CID5462814
azomycin-(2-nitroimidazole)	CID10701
azosemide	CID2273
aztreonam	CID5742832
bacampicillin	CID441397
baclofen-(R)	CID2284
bafetinib	CID11387605
baicalein	CID5281605
baicalin	CID64982
bakuchiol	CID5468522
balaglitazone	CID9889200
balapiravir	CID11691726
balicatib	CID10201696
balofloxacin	CID65958
balsalazide	CID54585
bambuterol	CID54766
barasertib	CID11497983
barasertib-HQPA	CID16007391
barbital	CID2294
bardoxolone	CID400010
bardoxolone-methyl	CID400769
baricitinib	CID44205240
barnidipine	CID443869
basimglurant	CID11438771
batimastat	CID5362422
bavisant	CID16061509
bay-w-9798	CID2167221
bazedoxifene	CID154257
beclamide	CID10391
beclomethasone	CID20469
beclomethasone-dipropionate	CID21700
bedaquiline	CID5388906
befuraline	CID68664
bekanamycin	CID439318
belinostat	CID6918638
bemegride	CID2310
bemesetron	CID671690
benazepril	CID40466887
bendamustine	CID65628
bendazac	CID2313
bendroflumethiazide	CID2315
benfluorex	CID2318
benfotiamine	CID3032771
benidipine	CID656668
benperidol	CID16363
benproperine	CID2326
benserazide	CID2327
bentazepam	CID135412795
bentiromide	CID6957673
benurestat	CID38000
benzamil	CID108107
benzbromarone	CID2333
benzethonium	CID2335
benznidazole	CID31593
benzo[d]thiazole-2(3h)-thione	CID697993
benzocaine	CID2337
benzoic-acid	CID243
benzonatate	CID7699
benzotript	CID2060890
benzoxiquine	CID6855
benzoylpas	CID10718
benzthiazide	CID2343
benztropine-mesylate	CHEMBL1200383
benzydamine	CID12555
benzylpenicillin	CID5904
bephenium-hydroxynaphthoate	CID54678490
bepotastine	CID164522
bepridil	CID2351
berberine	CID2353
bergapten	CID2355
bergenin	CID66065
besifloxacin	CID10178705
beta-CCB	CID128618
beta-funaltrexamine	CID5311018
beta-lapachone	CID3885
beta-naphthol	CID8663
betahistine	CID2366
betaine	CID247
betamethasone	CID9782
betamethasone-acetate	CID443967
betamethasone-dipropionate	CID21800
betamethasone-valerate	CID16533
betamipron	CID71651
betaxolol	CID2369
betazole	CID7741
bethanechol	CID2370
betrixaban	CID10275777
betulinic-acid	CID64971
bevantolol	CID2372
bevirimat-dimeglumine	CID11400413
bexarotene	CID82146
bezafibrate	CID39042
bicalutamide	CID2375
bicuculline-(+)	CID10237
bicyclol	CID9821754
bifemelane	CID2377
bifendate	CID108213
bifonazole	CID2378
bilastine	CID40467029
bilobalide	CID73581
bimatoprost	CID5311027
bindarit	CID71354
biotin	CID171548
bipenamol	CID43961
biperiden	CID2381
birinapant	CID49836020
bis(maltolato)oxovanadium(IV)	CID3035454
bisacodyl	CID2391
bisindolylmaleimide-ix	CID5083
bismuth(iii)-trifluoromethanesulfonate	CID5359367
bismuth-subcitrate-potassium	CHEMBL1201186
bisoprolol	CID2405
bithionol	CID2406
bitopertin	CID24946690
bivalirudin	CID73952246
blebbistatin-(+/-)	CID3476986
blebbistatin-(-)	CID3476986
blonanserin	CID125564
boceprevir	CID10324367
bopindolol	CID44112
bornyl-acetate	CID93009
bortezomib	CID387447
bosentan	CID104865
bosutinib	CID5328940
brefeldin-a	CID5287620
bremelanotide	CID9941379
brequinar	CID57030
bretazenil	CID107926
brexpiprazole	CID11978813
brigatinib	CID68165256
brilliant-green	CID11295
brimonidine	CID2435
brinzolamide	CID68844
brivanib	CID11234052
brivaracetam	CID9837243
brivudine	CID446727
bromantan	CID4660557
bromfenac	CID60726
bromhexine	CID2442
bromocriptine	CID31101
bromopride	CID2446
bromosporine	CID72943187
bromperidol	CID2448
brompheniramine	CID6834
bropirimine	CID135413497
broxaldine	CID77262
broxaterol	CID71149
broxuridine	CID6035
broxyquinoline	CID2453
bruceantin	CID5281304
brucine	CID442021
bucetin	CID14130
bucillamine	CID656604
bucladesine	CID9687
buclizine	CID6729
budipine	CID68778
bufexamac	CID2466
buflomedil	CID2467
bumetanide	CID2471
bunazosin	CID2472
buparlisib	CID16654980
buparvaquone	CID71768
buphenine	CID4567
bupivacaine	CID2474
bupranolol	CID2475
bupropion	CID444
buspirone	CID2477
busulfan	CID2478
butacaine	CID2480
butaclamol	CID37461
butalbital	CID2481
butamben	CID2482
butein	CID5281222
butenafine	CID2484
buthionine-sulfoximine	CHEMBL1609891
butoconazole	CID47472
butofilolol	CID68838
butorphanol-(+)-tartrate	CID24840146
butylated-hydroxyanisole	CID6932
butylated-hydroxytoluene	CID31404
butylphthalide	CID61361
butylscopolamine-bromide	CID6852391
cabaletta	CID7427
cabazitaxel	CID9854073
cabergoline	CID54746
cabozantinib	CID25102847
cafestol	CID108052
caffeic-acid	CID689043
caffeic-acid-phenethyl-ester	CID5281787
caffeine	CID2519
calcifediol	CID5283731
calcipotriol	CID5288783
calcitriol	CID5280453
calcium-gluceptate	CID62859
camicinal	CID15984937
camptothecin	CID24360
canagliflozin	CID24812758
candesartan	CID2541
canertinib	CID156414
canrenone	CID13789
capadenoson	CID9936489
capecitabine	CID60953
capreomycin	CID73952296
caprylic-acid	CID379
capsaicin	CID1548943
capsazepine	CID2733484
captamine	CID25799
captopril	CID44093
caramiphen	CID6472
carazolol	CID71739
carbachol	CID5831
carbadox	CID135511839
carbamazepine	CID2554
carbazochrome	CID2557
carbendazim	CID25429
carbenoxolone	CID636403
carbetapentane	CID2562
carbetocin	CID16681432
carbimazole	CID31072
carbinoxamine	CID2564
carboplatin	CHEMBL1351
carboxyamidotriazole	CID108144
cardiogenol-c	CID11345983
carebastine	CID40479695
carfilzomib	CID11556711
carglumic-acid	CID121396
cariporide	CID151172
cariprazine	CID11154555
carisoprodol	CID2576
carmofur	CID2577
carmoxirole	CID86308157
carmustine	CID2578
carnitine-(D/L)	CID288
caroverine	CID65709
carprofen	CID2581
carsalam	CID16258
carteolol	CID2583
carumonam	CID136478868
carvedilol	CID2585
carzenide	CID8739
caspofungin-acetate	CID70691324
castanospermine	CID54445
cathepsin-inhibitor-1	CID44224135
cebranopadol	CID11848225
cediranib	CID9933475
cefaclor	CID51038
cefadroxil	CID6560167
cefcapene-pivoxil	CID5282438
cefdinir	CID6915944
cefditoren-pivoxil	CID6437877
cefepime	CID5479537
cefetamet	CID5487888
cefetamet-pivoxil	CID5486182
cefixime	CID5362065
cefmenoxime	CID9570757
cefminox	CID71141
cefonicid	CID43594
cefoperazone	CID44187
cefoselis	CID5748845
cefotetan	CID53025
cefotiam	CID43708
cefozopran	CID9571080
cefpiramide	CID636405
cefpirome	CID5479539
ceftibuten	CID5282242
ceftiofur	CID6328657
ceftriaxone	CID5479530
cefuroxime	CID5479529
celecoxib	CID2662
celiprolol	CID2663
centpropazine	CID118176
cephalomannine	CID6436208
cephalothin	CID6024
cephapirin	CID30699
cepharanthine	CID10206
ceramide	CID6610273
ceritinib	CID57379345
cerulenin	CID5282054
cetirizine	CID2678
cetrimonium	CID2681
cetrorelix	CID25074887
cetylpyridinium	CID2683
cevimeline	CID83898
chenodeoxycholic-acid	CID21252245
chicago-sky-blue-6b	CID17460
chidamide	CID9800555
chiniofon	CID11043
chloralose	CID7057995
chlorambucil	CID2708
chloramphenicol	CID5959
chloramphenicol-palmitate	CID443382
chlorazanil	CID10374
chlorcyclizine	CID2710
chlorhexidine	CID2713
chlorindanol	CID8961
chlorindione	CID70846
chlormadinone-acetate	CID9324
chlormezanone	CID2717
chlormidazole	CID71821
chlorobutanol	CID5977
chlorocresol	CID1732
chlorogenic-acid	CID1794427
chloroprocaine	CID8612
chloropyramine	CID25295
chloroquine	CID2719
chlorothiazide	CID2720
chlorotrianisene	CID11289
chloroxine	CID2722
chloroxoquinoline	CID66593
chloroxylenol	CID2723
chlorphenamine	CID2725
chlorphenesin	CID7697
chlorproguanil	CID22323
chlorpromazine	CID2726
chlorpropamide	CID2727
chlorprothixene	CID667467
chlorpyrifos	CID2730
chlorquinaldol	CID6301
chlortetracycline	CID54675777
chlorthalidone	CID2732
chlorzoxazone	CID2733
cholecalciferol	CID5280795
cholic-acid	CID221493
choline	CID305
choline-alfoscerate	CID657272
chromanol-(+/-)	CID121846
chromocarb	CID2741
chrysin	CID5281607
chuanxiongzine	CID14296
cianidanol	CID9064
cibenzoline	CID2747
ciclesonide	CID6918155
ciclopirox	CID2749
ciglitazone	CID2750
cilazapril	CID40466888
cilengitide	CID176873
cilnidipine	CID5282138
cilomilast	CID151170
cilostamide	CID2753
cilostazol	CID2754
cimaterol	CID2755
cimetidine	CID2756
cimetropium	CID20054871
cinacalcet	CID156419
cinaciguat	CID9808022
cinalukast	CID6436135
cinanserin	CID5475158
cinchocaine	CID3025
cinchonidine	CID101744
cinchophen	CID8593
cinepazet	CID6434395
cinepazide	CID5282459
cinflumide	CID6434871
cinnarazine	CID5353532
cinoxacin	CID2762
cinoxate	CID5373773
cinromide	CID688145
cintriamide	CID6154037
cipemastat	CID9824350
ciprofibrate	CID2763
ciprofloxacin	CID2764
ciproxifan	CID6422124
cirazoline	CID2765
cis-ACPD	CID6604704
cis-urocanic	CID1549103
cis-urocanic-acid	CID1549103
cisapride	CID2769
cisplatin	CHEMBL11359
citalopram	CID2771
citicoline	CID13804
citiolone	CID14520
cladribine	CID20279
clarithromycin	CID84029
clebopride	CID2780
clemastine	CID26987
clemizole	CID2782
clenbuterol	CID2783
cleviprex	CID153994
clevudine	CID73115
clidinium	CID2784
climbazole	CID37907
clinafloxacin	CID4921596
clindamycin	CID446598
clindamycin-palmitate	CID16052039
clindamycin-phosphate	CID443385
clinofibrate	CID2787
clioquinol	CID2788
clobazam	CID2789
clobenpropit	CID2790
clobetasol-propionate	CID32798
clobetasone-butyrate	CID71716069
clobutinol	CID26937
clocortolone-pivalate	CID5282493
clodronic-acid	CID25419
clofarabine	CID119182
clofazimine	CID2794
clofedanol	CID2795
clofibrate	CID2796
clofibric-acid	CID2797
clofoctol	CID2799
clomethiazole	CID10783
clomifene	CID1548953
clomipramine	CID2801
clonazepam	CID2802
clonidine	CID2803
clopamide	CID12492
cloperastine	CID2805
clopidogrel	CID60606
clopidol	CID18087
cloprostenol-(+/-)	CID20838637
cloranolol	CID65814
clorgiline	CID4380
clorotepine	CID1238
clorprenaline	CID2810
clorsulon	CID43231
closantel	CID42574
clotiapine	CID16351
clotrimazole	CID2812
cloxacillin	CID6098
cloxyquin	CID2817
clozapine	CID135398737
co-102862	CID9816959
cobicistat	CID25151504
cobimetinib	CID16222096
colchicine	CID6167
colforsin	CID47936
colfosceril-palmitate	CID452110
colistin-b-sulfate	CID46224602
combretastatin-A-4	CID5386397
conivaptan	CID151171
copanlisib	CID135565596
copper-histidine	CID139031282
cordycepin	CID6303
corosolic-acid	CID6918774
corticosterone	CID5753
cortisone	CID222786
cortisone-acetate	CID969518
cortodoxone	CID440707
costunolide	CID5281437
cotinine	CID854019
coumarin	CID323
coumophos	CID2871
creatine	CID586
creatinine	CID588
crenolanib	CID10366136
cresol	CID24693
cresopirine	CID78094
cridanimod	CID38072
crisaborole	CID44591583
crizotinib	CID11626560
crizotinib-(S)	CID11626560
cromakalim	CID93504
cromoglicic-acid	CID2882
crotamiton	CID688020
crystal-violet	CID11057
curcumin	CID969516
cutamesine	CID9907323
cyacetacide	CID8820
cyamemazine	CID62865
cyanocobalamin	CID5311498
cyanopindolol	CID155346
cyclamic-acid	CID7533
cyclandelate	CID2893
cyclizine	CID6726
cyclobenzaprine	CID2895
cyclocytidine	CID25051
cycloheximide	CID6197
cyclopenthiazide	CID2904
cyclopentolate	CID2905
cyclophosphamide	CID2907
cyclopiazonic-acid	CID54682463
cyclosporin-a	CID118753623
cyclosporine	CID5284373
cyclovalone	CID1550234
cyproheptadine	CID2913
cyproterone-acetate	CID9880
cyromazine	CID47866
cyt387	CID25062766
cytarabine	CID6253
cytisine	CID10235
cytochalasin-b	CID5311281
cytochlor	CID100802
dabigatran	CID216210
dabigatran-etexilate	CID6445226
dabrafenib	CID44462760
dacarbazine	CID135398738
dacinostat	CID6445533
daclatasvir	CID25154714
dacomitinib	CID11511120
daidzein	CID5281708
dalargin	CID6917894
dalcetrapib	CID6918540
dalfampridine	CID1727
daltroban	CID54343
danazol	CID28417
danegaptide	CID16656685
danirixin	CID24780598
danofloxacin	CID25273623
danoprevir	CID11285588
dantrolene	CID6914273
dantron	CID2950
danusertib	CID11442891
dapagliflozin	CID9887712
daphnetin	CID5280569
dapiprazole	CID3033538
dapivirine	CID214347
dapoxetine	CID71353
daprodustat	CID91617630
dapsone	CID2955
daptomycin	CID16134395
darapladib	CID9939609
darglitazone	CID60870
darifenacin	CID444031
darunavir	CID213039
darusentan	CID177236
dasabuvir	CID56640146
dasatinib	CID3062316
daucosterol	CID5742590
daunorubicin	CID30323
dazmegrel	CID53555
dazoxiben	CID53001
debrisoquin	CID2966
decamethonium	CID2968
decitabine	CID451668
decoquinate	CID29112
defactinib	CID25117126
deferasirox	CID214348
deferiprone	CID2972
deferoxamine-mesylate	CID44229148
deflazacort	CID189821
deforolimus	CID11520894
degarelix	CID16136245
dehydroacetic-acid	CID122903
dehydrocholate	CID6674
dehydrocorydaline	CID34781
dehydroepiandrosterone	CID5881
dehydroepiandrosterone-sulfate	CID12594
delamanid	CID6480466
delanzomib	CID24800541
delapril	CID40466929
delavirdine	CID5625
demecarium	CID5966
denatonium-benzoate	CID60205797
denotivir	CID39976
deoxycholic-acid	CID222528
deoxycorticosterone-acetate	CID5952
deoxyepinephrine	CID4382
deptropine	CID203911
dequalinium	CID2993
deracoxib	CID3058754
deserpidine	CID8550
desipramine	CID2995
deslanoside	CID28620
desloratadine	CID124087
desmopressin-acetate	CID5311065
desogestrel	CID40973
desonide	CID5311066
desoximetasone	CID5311067
desoxycorticosterone-pivalate	CID11876263
desoxycortone	CID6166
desoxypeganine	CID442894
desvenlafaxine	CID125017
detomidine	CID56032
dexamethasone	CID5743
dexamethasone-acetate	CID236702
dexamethasone-sodium-phosphate	CID16961
dexchlorpheniramine	CID33036
dexfenfluramine	CID66265
dexfosfoserine	CID57689797
dexlansoprazole	CID9578005
dexloxiglumide	CID65937
dexniguldipine	CID6918097
dexpanthenol	CID131204
dexrazoxane	CID71384
dextran	CID4125253
dextroamphetamine	CID5826
dextromethorphan	CID5360696
dextrose	CID64689
diacerein	CID26248
diacetamate	CID17499
diadenosine-tetraphosphate	CID21706
dianhydrogalactitol	CID31789
diarylpropionitrile	CID102614
diatrizoic-acid	CID2140
diaveridine	CID21453
diazepam	CID3016
diazoxide	CID3019
dibenzepine	CID9419
dibenzothiophene	CID3023
dibutyl-phthalate	CID3026
dichlorisone-acetate	CID5388959
dichloroacetate	CID25975
dichlorophen	CID3037
dichlorvos	CID3039
diclazuril	CID456389
diclofenac	CID3033
diclofenamide	CID3038
diclofensine	CID68871
dicloxacillin	CID18381
dicoumarol	CID54676038
dicycloverine	CID3042
didanosine	CID135398739
dideoxyadenosine	CID20039
didox	CID3045
dienestrol	CID667476
dienogest	CID68861
diethylcarbamazine	CID3052
diethylstilbestrol	CID448537
diethyltoluamide	CID4284
difenpiramide	CID100472
diflorasone-diacetate	CID71414
difloxacin	CID40473223
diflunisal	CID3059
difluprednate	CID443936
diftalone	CID30717
digitoxigenin	CID4369270
digitoxin	CID441207
digoxigenin	CID15478
digoxin	CID2724385
dihomo-gamma-linolenic-acid	CID5280581
dihydroartemisinin	CID3000518
dihydroergocristine	CID107715
dihydroergotamine	CID10531
dihydromyricetin	CID161557
dihydrostreptomycin	CID439369
dihydrotestosterone	CID10635
dilazep	CID3074
diloxanide	CID11367
diltiazem	CID39186
dimaprit	CID3077
dimemorfan	CID3037918
dimercaprol	CID3080
dimercaptosuccinic-acid	CID9354
dimesna	CID46931005
dimethindene-(S)-(+)	CID21855
dimethisoquin	CID6857
dimethyl-fumarate	CID637568
dimetridazole	CID3090
diminazene-aceturate	CID5284544
dimpylate	CID3017
dinaciclib	CID46926350
dinitolmide	CID3092
dinoprost	CID5280363
dioscin	CID119245
diosgenin	CID99474
diosmetin	CID5281612
diosmin	CID5281613
dioxybenzone	CID8569
dipeptamin	CID123935
diperodon	CID10831
diphemanil	CID6126
diphencyprone	CID65057
diphenhydramine	CID3100
diphenidol	CID3055
diphenyleneiodonium	CID3101
diphenylpyraline	CID3103
dipivefrine	CID3105
dipraglurant	CID44557636
dipyridamole	CID3108
dirithromycin	CID6473883
diroximel-fumarate	CID73330464
disopyramide	CID3114
disulfiram	CID3117
ditolylguanidine	CID7333
dixanthogen	CID10404
dizocilpine-(+)	CID180081
dizocilpine-(-)	CID180081
dobutamine	CID36811
docetaxel	CID148124
docosanol	CID12620
dofequidar	CID213040
dofetilide	CID71329
dolasetron	CID3033818
dolastatin-10	CID9810929
dolutegravir	CID54726191
domiphen	CID3149
domperidone	CID3151
donepezil	CID3152
donitriptan	CID197706
dopamine	CID681
doramapimod	CID156422
doramectin	CID9832750
dorzolamide	CID5284549
dosulepin	CID5284550
dovitinib	CID135398510
doxapram	CID3156
doxazosin	CID3157
doxepin	CID667477
doxercalciferol	CID5281107
doxifluridine	CID18343
doxofylline	CID50942
doxorubicin	CID31703
doxycycline	CID54671203
doxylamine	CID3162
drofenine	CID3166
droloxifene	CID3033767
dromostanolone-propionate	CID224004
dronedarone	CID208898
droperidol	CID3168
dropropizine	CID3169
drospirenone	CID68873
drotaverine	CID1712095
droxidopa	CID6989215
droxinostat	CID568416
duloxetine	CID60835
dutasteride	CID6918296
dyclonine	CID3180
dydrogesterone	CID9051
dyphylline	CID3182
ebastine	CID3191
ebselen	CID3194
ecabapide	CID65885
ecabet	CID65781
echinomycin	CID3197
econazole	CID3198
edelfosine	CID1392
edoxaban	CID10280735
edoxudine	CID66377
edrophonium	CID3202
efaproxiral	CID122335
efaroxan	CID72016
efatutazone	CID9832447
efavirenz	CID64139
efinaconazole	CID489181
eflornithine	CID3009
efloxate	CID8395
eglumetad	CID213056
elacridar	CID119373
elafibranor	CID9864881
elagolix	CID11250647
elbasvir	CID71661251
elesclomol	CID300471
eletriptan	CID77993
eliglustat	CID23652731
eliprodil	CID60703
ellagic-acid	CID5281855
eltanolone	CID31402
eltoprazine	CID65853
eltrombopag	CID135449332
eluxadoline	CID11250029
elvitegravir	CID5277135
embelin	CID3218
emedastine	CID3219
emetine	CID10219
emodin	CID3220
emorfazone	CID3221
emoxipin	CID114681
empagliflozin	CID11949646
emtricitabine	CID60877
enalapril	CID40466924
enalaprilat	CID5462501
enasidenib	CID89683805
enciprazine	CID50222
endo-IWR-1	CID44483163
enflurane	CID3226
enilconazole	CID37175
enocitabine	CID71734
enoxacin	CID3229
enoximone	CID53708
enoxolone	CID10114
enprofylline	CID1676
enrofloxacin	CID6957639
entacapone	CID5281081
entecavir	CID135398508
entinostat	CID4261
entrectinib	CID25141092
enzalutamide	CID15951529
enzastaurin	CID176167
epacadostat	CID135564890
epalrestat	CID1549120
eperezolid	CID73214
eperisone	CID3236
ephedrine	CID9294
ephedrine-(racemic)	CID9294
epiandrosterone	CID441302
epicatechin-gallate-(-)	CID107905
epinastine	CID3241
epinephrine	CID5816
epirizole	CID3242
epirubicin	CID41867
epitiostanol	CID443935
eplerenone	CID443872
epoprostenol	CID5282411
epothilone-a	CID448799
epothilone-b	CID448013
epothilone-d	CID447865
eprazinone	CID3245
eprinomectin	CID134158085
eprobemide	CID65659
eprodisate	CID428573
eprosartan	CID5281037
eptifibatide	CID448812
equilin	CID223368
equol	CID91469
erastin	CID11214940
ercalcitriol	CID9547243
erdafitinib	CID67462786
erdosteine	CID65632
ergocalciferol	CID5280793
ergonovine	CID443884
erlotinib	CID176870
erteberel	CID10286159
ertugliflozin	CID44814423
erythritol	CID222285
erythromycin	CID12560
erythromycin-ethylsuccinate	CID443953
erythrosine	CID12961638
esaprazole	CID68835
escitalopram	CID146570
esculin	CID5281417
eslicarbazepine-acetate	CID179344
esmolol	CID59768
esomeprazole	CID9568614
estetrol	CID27125
estradiol	CID5757
estradiol-acetate	CID6852404
estradiol-benzoate	CID222757
estradiol-cypionate	CID9403
estradiol-valerate	CID13791
estramustine	CID259331
estramustine-phosphate	CID259329
estriol	CID5756
estrone	CID5870
estropipate	CID5284555
eszopiclone	CID969472
etacrynic-acid	CID3278
etafenone	CID3275
etamsylate	CID17506
etanidazole	CID3276
etazolate	CID3277
etebenecid	CID14604
ethacizin	CID107841
ethacridine-lactate-monohydrate	CID165457
ethambutol	CID14052
ethamivan	CID9363
ethaverine	CID3280
ethenzamide	CID3282
ethimizol	CID6168
ethinyl-estradiol	CID5991
ethionamide	CID2761171
ethisterone	CID5284557
ethopabate	CID6034
ethosuximide	CID3291
ethotoin	CID3292
ethoxzolamide	CID3295
ethyl-vanillin	CID8467
ethylenediaminetetraacetic-acid	CID6049
ethylnorepinephrine	CID18538
ethynodiol-diacetate	CID9270
