isobutyramide	CHEMBL352219
hexamethylenebisacetamide	CHEMBL291481
hydralazine	CHEMBL276832
levodropropizine	CHEMBL1288810
EHop-016	CHEMBL3237589
quinapril	CHEMBL1592
JDTic	CHEMBL415247
tivantinib	CHEMBL2103882
oxatomide	CHEMBL13828
20-hydroxyecdysone	CHEMBL224128
mosapride	CHEMBL60889
podophyllotoxin	CHEMBL61
TG-101209	CHEMBL1995703
TAME	CHEMBL44752
4-IBP	CHEMBL50112
rizatriptan	CHEMBL905
ethyl-vanillin	CHEMBL508676
cilomilast	CHEMBL511115
litronesib	CHEMBL2105661
AC-55649	CHEMBL425027
6-benzylaminopurine	CHEMBL228862
BAY-11-7082	CHEMBL403183
clemastine	CHEMBL1626
opicapone	CHEMBL1089318
lonidamine	CHEMBL1257030
pirfenidone	CHEMBL1256391
carbetocin	CHEMBL3301668
cresol	CHEMBL1410808
CO-101244	CHEMBL317229
acefylline	CHEMBL70246
tulobuterol	CHEMBL1159717
sulfinpyrazone	CHEMBL832
daucosterol	CHEMBL506678
navitoclax	CHEMBL443684
JNJ-26481585	CHEMBL2105763
lisofylline	CHEMBL1411
tecastemizole	CHEMBL61301
tadalafil	CHEMBL779
YM-155	CHEMBL2105734
quinethazone	CHEMBL1532
BIBN4096	CHEMBL207197
lomeguatrib	CHEMBL339133
odanacatib	CHEMBL481611
etilevodopa	CHEMBL1823681
IOX2	CHEMBL3186774
nalbuphine	CHEMBL895
Y-27632	CHEMBL559147
SDZ-205-557	CHEMBL287045
digitoxigenin	CHEMBL1453
C-751	CHEMBL4303392
cefuroxime	CHEMBL1436
N-acetylmannosamine	CHEMBL1231391
N-acetylmannosamine	CHEMBL4297539
isopropyl-palmitate	CHEMBL139055
benzocaine	CHEMBL278172
eltoprazine	CHEMBL282614
orantinib	CHEMBL274654
ramosetron	CHEMBL1643895
avibactam	CHEMBL1689063
afobazole	CHEMBL3707307
amiloride	CHEMBL945
nisoxetine	CHEMBL295467
SMI-4a	CHEMBL183906
SMI-4a	CHEMBL3183803
SMI-4a	CHEMBL4303289
mebeverine	CHEMBL282121
R-1479	CHEMBL393857
CMPD-1	CHEMBL235658
fdcyd	CHEMBL1076257
chlorambucil	CHEMBL515
andarine	CHEMBL125236
tolcapone	CHEMBL1324
SKF-89976A	CHEMBL543557
ulipristal	CHEMBL2103846
spiradoline	CHEMBL118865
spiradoline	CHEMBL70586
rufinamide	CHEMBL1201754
isovaleramide	CHEMBL171066
E-2012	CHEMBL1224151
I-BET151	CHEMBL2017291
AZD7762	CHEMBL2041933
tolvaptan	CHEMBL344159
doxercalciferol	CHEMBL1200810
lisadimate	CHEMBL2106668
chlorotrianisene	CHEMBL1200761
trilostane	CHEMBL1200907
nitarsone	CHEMBL1721359
sucralose	CHEMBL2107529
LB-100	CHEMBL4297300
lirimilast	CHEMBL1922282
pilocarpine	CHEMBL550
rolziracetam	CHEMBL51396
tedizolid-phosphate	CHEMBL2105669
2-aminobenzenesulfonamide	CHEMBL6705
deferoxamine-mesylate	CHEMBL1234
alogliptin	CHEMBL376359
nedocromil	CHEMBL746
PIK-294	CHEMBL1241767
orbifloxacin	CHEMBL295433
tagatose	CHEMBL1236183
halofuginone	CHEMBL1197091
lumiracoxib	CHEMBL404108
cafestol	CHEMBL1407645
remimazolam	CHEMBL4297526
GS-9973	CHEMBL3265032
practolol	CHEMBL6995
atomoxetine	CHEMBL641
L-161982	CHEMBL1179743
pirlindole	CHEMBL32350
maytansinol-isobutyrate	CHEMBL507305
cefditoren-pivoxil	CHEMBL454446
GW-441756	CHEMBL176544
GW-441756	CHEMBL1516890
MY-5445	CHEMBL332898
roxarsone	CHEMBL1321154
fiacitabine	CHEMBL272557
perhexiline	CHEMBL75880
volinanserin	CHEMBL74355
GR-113808	CHEMBL33884
amflutizole	CHEMBL2106558
monastrol	CHEMBL236789
tamibarotene	CHEMBL25202
bedaquiline	CHEMBL376488
beclamide	CHEMBL64195
azelaic-acid	CHEMBL1238
IKK-16	CHEMBL200027
HTMT	CHEMBL67601
minoxidil	CHEMBL802
topiramate	CHEMBL220492
methazolamide	CHEMBL19
lidocaine	CHEMBL79
dapivirine	CHEMBL70663
L-Citrulline	CHEMBL444814
etomidate	CHEMBL681
bacampicillin	CHEMBL1583
olaparib	CHEMBL521686
BP-554	CHEMBL1401324
echinomycin	CHEMBL510650
clomipramine	CHEMBL415
S-14506	CHEMBL1590266
ethacizin	CHEMBL1997663
formononetin	CHEMBL242341
rocuronium	CHEMBL1201244
verubulin	CHEMBL492399
ganciclovir	CHEMBL182
SKI-II	CHEMBL1076555
isavuconazole	CHEMBL409153
triamterene	CHEMBL585
trichlormethiazide	CHEMBL1054
indisulam	CHEMBL77517
indole-3-carbinol	CHEMBL155625
enprofylline	CHEMBL279898
regadenoson	CHEMBL317052
argatroban	CHEMBL1166
propylthiouracil	CHEMBL1518
pidotimod	CHEMBL1488165
talipexole	CHEMBL279085
cyromazine	CHEMBL1231107
WZ811	CHEMBL237830
pregnenolone-succinate	CHEMBL2105373
SR-57227A	CHEMBL1256322
SAR131675	CHEMBL4303275
DBeQ	CHEMBL1624459
AZ-10417808	CHEMBL586058
pamidronate	CHEMBL834
ONC201	CHEMBL4297310
sunitinib	CHEMBL535
eltanolone	CHEMBL210952
pimavanserin	CHEMBL2111101
ganaxolone	CHEMBL1568698
prulifloxacin	CHEMBL422648
BMY-14802	CHEMBL60859
mirodenafil	CHEMBL4297518
ethionamide	CHEMBL1441
aloxistatin	CHEMBL63440
saclofen	CHEMBL312403
flibanserin	CHEMBL231068
sofosbuvir	CHEMBL1259059
GR-127935	CHEMBL15928
SB-505124	CHEMBL226838
prochlorperazine	CHEMBL728
rucinol	CHEMBL450195
nefazodone	CHEMBL623
abemaciclib	CHEMBL3301610
MDL-11939	CHEMBL18972
acyclovir	CHEMBL184
nomifensine	CHEMBL273575
ZK-164015	CHEMBL184074
A-769662	CHEMBL512504
daunorubicin	CHEMBL178
SANT-1	CHEMBL515916
nebivolol	CHEMBL434394
tozadenant	CHEMBL2105747
ODM-201	CHEMBL4297185
felbinac	CHEMBL413965
pentobarbital	CHEMBL448
XL888	CHEMBL4297451
vernakalant	CHEMBL2111112
diltiazem	CHEMBL23
SRC-kinase-inhibitor-I	CHEMBL97771
VU0357121	CHEMBL2151790
trelagliptin	CHEMBL1650443
artesunate	CHEMBL361497
benproperine	CHEMBL2105910
NOV-002	CHEMBL1372
glycitein	CHEMBL513024
CP-91149	CHEMBL319136
axitinib	CHEMBL1289926
thioctic-acid	CHEMBL134342
5-methylfurmethiodide	CHEMBL1316369
talniflumate	CHEMBL1081506
GW-0742	CHEMBL38508
GSK1070916	CHEMBL1090479
ethosuximide	CHEMBL696
eprazinone	CHEMBL1885437
nepafenac	CHEMBL1021
BIX-01294	CHEMBL569864
chiniofon	CHEMBL1788402
evatanepag	CHEMBL563646
iguratimod	CHEMBL2107455
diazepam	CHEMBL12
digoxigenin	CHEMBL1153
omeprazole-magnesium	CHEMBL1567328
2'-MeCCPA	CHEMBL251997
diperodon	CHEMBL338667
barnidipine	CHEMBL2103761
5,7-dichlorokynurenic-acid	CHEMBL50267
alendronate	CHEMBL870
NU-7026	CHEMBL104468
NNC-63-0532	CHEMBL2088036
parecoxib	CHEMBL1206690
N-acetyltryptamine	CHEMBL33171
imatinib	CHEMBL941
neridronic-acid	CHEMBL55214
barasertib	CHEMBL415049
perillyl-alcohol	CHEMBL236687
zolimidine	CHEMBL2105534
MLN2480	CHEMBL3348923
2,4-dinitrophenol	CHEMBL273386
chlorphenesin	CHEMBL607710
telmesteine	CHEMBL2107621
dextran	CHEMBL1697742
ramipril	CHEMBL1168
aprepitant	CHEMBL1471
AMG-487	CHEMBL397983
drospirenone	CHEMBL1509
JNJ-17203212	CHEMBL254778
L-methionine	CHEMBL42336
benzo[d]thiazole-2(3h)-thione	CHEMBL111654
cetirizine	CHEMBL1000
alfuzosin	CHEMBL709
acetanilide	CHEMBL269644
cutamesine	CHEMBL408867
PH-797804	CHEMBL1088751
melatonin	CHEMBL45
laropiprant	CHEMBL426559
palifosfamide	CHEMBL889
agmatine	CHEMBL58343
phloroglucin	CHEMBL473159
resorcinol	CHEMBL24147
tegobuvir	CHEMBL1957287
ICI-185,282	CHEMBL1445399
ketanserin	CHEMBL51
phenyl-aminosalicylate	CHEMBL1200868
SCH-23390	CHEMBL62
lamivudine	CHEMBL141
ciglitazone	CHEMBL7002
furosemide	CHEMBL35
CK-636	CHEMBL1234574
diarylpropionitrile	CHEMBL334773
rheochrysidin	CHEMBL42624
piboserod	CHEMBL356359
diclofenamide	CHEMBL17
chlorogenic-acid	CHEMBL284616
glafenine	CHEMBL146095
sodium-picosulfate	CHEMBL1697768
PF-04691502	CHEMBL1234354
tetramethylthiuram-monosulfide	CHEMBL571700
probenecid	CHEMBL897
fluoxymesterone	CHEMBL1445
estradiol-acetate	CHEMBL1200430
estradiol-acetate	CHEMBL1611800
XL-647	CHEMBL3544983
ethimizol	CHEMBL4303294
idoxuridine	CHEMBL788
nastorazepide	CHEMBL4303633
gamma-aminobutyric-acid	CHEMBL96
pivmecillinam	CHEMBL1650818
triclocarban	CHEMBL1076347
teriflunomide	CHEMBL973
iohexol	CHEMBL1200455
indibulin	CHEMBL49642
gidazepam	CHEMBL1565882
faropenem	CHEMBL556262
ATPA	CHEMBL113180
erdafitinib	CHEMBL3545376
salicylamide	CHEMBL27577
traxoprodil	CHEMBL17350
DMH1	CHEMBL2385597
semaxanib	CHEMBL276711
thiamphenicol	CHEMBL1236282
stemregenin-1	CHEMBL4303221
carumonam	CHEMBL1614658
mebendazole	CHEMBL685
tolfenamic-acid	CHEMBL121626
metformin	CHEMBL1431
relebactam	CHEMBL3112741
atazanavir	CHEMBL1163
azaperone	CHEMBL340211
octisalate	CHEMBL1329203
CI-976	CHEMBL22373
fosfosal	CHEMBL287275
avatrombopag	CHEMBL2103883
olopatadine	CHEMBL1189432
tiquizium	CHEMBL1872078
cloranolol	CHEMBL156791
phenylacetylglutamine	CHEMBL4303372
AZD1283	CHEMBL2419490
calcipotriol	CHEMBL1200666
neohesperidin-dihydrochalcone	CHEMBL1159645
phthalylsulfathiazole	CHEMBL1524273
pravastatin	CHEMBL1144
zonisamide	CHEMBL750
guaifenesin	CHEMBL980
meptazinol	CHEMBL314437
taltobulin	CHEMBL182319
ginsenoside-rg3	CHEMBL398412
testolactone	CHEMBL1571
isosteviol	CHEMBL462653
benfotiamine	CHEMBL3183549
benfotiamine	CHEMBL1491875
asaraldehyde	CHEMBL1164301
uracil	CHEMBL566
cyclosporine	CHEMBL160
FPL-62064	CHEMBL4070705
FH1	CHEMBL478306
rofecoxib	CHEMBL122
deoxycholic-acid	CHEMBL406393
3'-fluorobenzylspiperone	CHEMBL137648
pentylenetetrazol	CHEMBL116943
cobicistat	CHEMBL2095208
GSK1838705A	CHEMBL464552
propranolol	CHEMBL27
gly-gln	CHEMBL330038
nobiletin	CHEMBL76447
Y-27152	CHEMBL1476996
GSK163090	CHEMBL1631540
spiramycin	CHEMBL453514
spiramycin	CHEMBL1908369
DAU-5884	CHEMBL1617363
fluvastatin	CHEMBL1078
fluvastatin	CHEMBL2220442
bifemelane	CHEMBL1192517
cyclovalone	CHEMBL2362372
cyclovalone	CHEMBL17205
crotamiton	CHEMBL1200709
tofacitinib	CHEMBL221959
flavoxate	CHEMBL1493
naftifine	CHEMBL626
lazabemide	CHEMBL279390
sulbutiamine	CHEMBL2105813
colchicine	CHEMBL107
thiostrepton	CHEMBL468719
thiostrepton	CHEMBL1236460
thiostrepton	CHEMBL2303629
novobiocin	CHEMBL36506
istaroxime	CHEMBL2093999
istaroxime	CHEMBL3989692
bortezomib	CHEMBL325041
tarafenacin	CHEMBL1779046
LTB4	CHEMBL65061
penciclovir	CHEMBL1540
1400W	CHEMBL107251
bretazenil	CHEMBL366947
bosentan	CHEMBL957
tryptophan	CHEMBL54976
dexloxiglumide	CHEMBL550781
A-674563	CHEMBL379218
bromocriptine	CHEMBL493
meluadrine	CHEMBL2104709
plinabulin	CHEMBL1096380
hordenine	CHEMBL505789
choline	CHEMBL920
ethambutol	CHEMBL44884
regorafenib	CHEMBL1946170
iodophenpropit	CHEMBL498770
BW-723C86	CHEMBL1255834
copanlisib	CHEMBL3218576
diethyltoluamide	CHEMBL1453317
amsacrine	CHEMBL43
oxymatrine	CHEMBL458337
bisacodyl	CHEMBL942
UNC0638	CHEMBL1231795
exisulind	CHEMBL488025
9-aminoacridine	CHEMBL43184
orotic-acid	CHEMBL1235017
yohimbine	CHEMBL15245
abacavir	CHEMBL1380
anecortave-acetate	CHEMBL2106613
AG-1024	CHEMBL2218926
dacinostat	CHEMBL356066
alprostadil	CHEMBL495
methylprednisolone-sodium-succinate	CHEMBL1201081
psoralen	CHEMBL164660
phensuximide	CHEMBL797
SB-218795	CHEMBL9843
E-64	CHEMBL374508
Ro-25-6981	CHEMBL305195
2-BFI	CHEMBL404505
xilobam	CHEMBL382769
docetaxel	CHEMBL92
amylene-hydrate	CHEMBL44658
dolastatin-10	CHEMBL39541
TG-101348	CHEMBL1287853
cyclopiazonic-acid	CHEMBL480627
VT-464	CHEMBL3264610
3-CPMT	CHEMBL540034
ciprofibrate	CHEMBL557555
piroxicam	CHEMBL527
YM-976	CHEMBL1358525
GSK-J4	CHEMBL3183531
ibandronate	CHEMBL997
LXR-623	CHEMBL456237
galantamine	CHEMBL659
etoposide	CHEMBL44657
triclosan	CHEMBL849
DCEBIO	CHEMBL1255655
limonin	CHEMBL517449
itopride	CHEMBL2107457
ulifloxacin	CHEMBL345937
atiprimod	CHEMBL103735
modaline	CHEMBL2111121
SB-756050	CHEMBL4303545
agomelatine	CHEMBL10878
palovarotene	CHEMBL2105648
N-acetylcarnosine	CHEMBL4303521
cathepsin-inhibitor-1	CHEMBL564131
cefaclor	CHEMBL680
CD-437	CHEMBL1180
presatovir	CHEMBL3410450
streptozotocin	CHEMBL1651906
L-165041	CHEMBL153057
3-bromopyruvate	CHEMBL177837
RS-102221	CHEMBL88402
trihexyphenidyl	CHEMBL1490
BMS-626529	CHEMBL3301620
dopamine	CHEMBL59
salicyl-alcohol	CHEMBL280802
busulfan	CHEMBL820
brimonidine	CHEMBL844
UNBS-5162	CHEMBL4303530
zuclopenthixol	CHEMBL53904
etofenamate	CHEMBL1451633
diadenosine-tetraphosphate	CHEMBL339385
josamycin	CHEMBL224436
malic-acid	CHEMBL1455497
ZK-93426	CHEMBL1271047
AKBA	CHEMBL237111
PHA-793887	CHEMBL1230607
enilconazole	CHEMBL356918
dequalinium	CHEMBL333826
raltitrexed	CHEMBL225071
UNC0642	CHEMBL2441082
xanomeline	CHEMBL21536
meisoindigo	CHEMBL607535
2-iodomelatonin	CHEMBL289233
BMS-191011	CHEMBL45349
SB-225002	CHEMBL239767
ethinyl-estradiol	CHEMBL691
matrine	CHEMBL204860
volasertib	CHEMBL1233528
benzoxiquine	CHEMBL1170610
aceneuramic-acid	CHEMBL2105945
acetophenazine	CHEMBL1085
elagolix	CHEMBL1208155
clocortolone-pivalate	CHEMBL1200975
BNC105	CHEMBL1823147
mephenytoin	CHEMBL861
swainsonine	CHEMBL371197
succinic-acid	CHEMBL576
clofoctol	CHEMBL1476605
T-0156	CHEMBL1190161
ARRY-334543	CHEMBL2103842
enisamium-iodide	CHEMBL1716983
olmesartan-medoxomil	CHEMBL1200692
halopemide	CHEMBL245621
phenazone	CHEMBL277474
CEP-37440	CHEMBL3545051
tivozanib	CHEMBL1289494
sulfaphenazole	CHEMBL1109
azodicarbonamide	CHEMBL28517
apricitabine	CHEMBL210651
ravuconazole	CHEMBL294029
nonoxynol-9	CHEMBL1410
xylometazoline	CHEMBL312448
thiomersal	CHEMBL508338
LDN-212854	CHEMBL2385591
ceramide	CHEMBL155886
remacemide	CHEMBL25843
ABT-202	CHEMBL4303561
salazodine	CHEMBL2105427
GSK2656157	CHEMBL2441340
3-deazaneplanocin-A	CHEMBL154745
hexamethonium	CHEMBL100622
tipifarnib	CHEMBL289228
climbazole	CHEMBL1437764
K02288	CHEMBL1230714
KPT-276	CHEMBL4303237
thiocolchicoside	CHEMBL1705373
IBC-293	CHEMBL381638
rebamipide	CHEMBL1697771
AMG-319	CHEMBL3545048
levomepromazine	CHEMBL1764
CP-945,598	CHEMBL562668
IWP-L6	CHEMBL2323231
IDO5L	CHEMBL584991
chidamide	CHEMBL3621988
cepharanthine	CHEMBL449782
broxyquinoline	CHEMBL223448
azalomycin-b	CHEMBL3740707
pranidipine	CHEMBL1096842
protriptyline	CHEMBL668
leuprolide	CHEMBL1201199
SB-242235	CHEMBL95692
labetalol	CHEMBL429
actarit	CHEMBL1885632
tropesin	CHEMBL4303336
selinexor	CHEMBL3545185
idelalisib	CHEMBL2216870
tanaproget	CHEMBL539163
pridinol	CHEMBL404215
fosinopril	CHEMBL3039598
arecaidine-propargyl-ester	CHEMBL128365
clenbuterol	CHEMBL49080
amperozide	CHEMBL1079935
RS-102895	CHEMBL1593104
3-(4-methylbenzylidene)camphor	CHEMBL2104261
pacritinib	CHEMBL2035187
sitagliptin	CHEMBL1422
pronethalol	CHEMBL16476
methenamine	CHEMBL1201270
picotamide	CHEMBL1257015
ZD-7155	CHEMBL159096
compound-401	CHEMBL179242
lufenuron	CHEMBL1364906
captamine	CHEMBL1395579
OSI-027	CHEMBL3120215
cilengitide	CHEMBL429876
terodiline	CHEMBL363295
marimastat	CHEMBL279785
fexinidazole	CHEMBL1631694
LY2365109	CHEMBL1628564
sulpiride	CHEMBL26
proquazone	CHEMBL268501
tazemetostat	CHEMBL3414621
Ro-20-1724	CHEMBL18701
remoxipride	CHEMBL22242
nefopam	CHEMBL465026
bucillamine	CHEMBL80830
sotrastaurin	CHEMBL565612
estradiol-cypionate	CHEMBL1200973
NBQX	CHEMBL222519
droxinostat	CHEMBL1526649
netupitant	CHEMBL206253
CP-673451	CHEMBL4303508
roxithromycin	CHEMBL1214185
PD-123319	CHEMBL157946
drotaverine	CHEMBL551978
iobenguane	CHEMBL818
carbendazim	CHEMBL70971
norfloxacin	CHEMBL9
sulfapyridine	CHEMBL700
lorediplon	CHEMBL3707317
kifunensine	CHEMBL1233851
phenolphthalein	CHEMBL63857
PD-173074	CHEMBL189584
ribavirin	CHEMBL1643
crystal-violet	CHEMBL64894
PHA-767491	CHEMBL225519
sparfloxacin	CHEMBL850
dideoxyadenosine	CHEMBL23094
dideoxyadenosine	CHEMBL14925
MDL-73005EF	CHEMBL2218891
caffeic-acid-phenethyl-ester	CHEMBL319244
sophocarpine	CHEMBL377725
N20C	CHEMBL1255662
hydroxyfasudil	CHEMBL1233300
k-strophanthidin	CHEMBL111743
thiethylperazine	CHEMBL1378
nafcillin	CHEMBL1443
NNC-711	CHEMBL473104
ambenonium	CHEMBL1652
benidipine	CHEMBL2218858
benidipine	CHEMBL2074972
benidipine	CHEMBL2105555
PNU-74654	CHEMBL254381
AG-490	CHEMBL56543
LY2452473	CHEMBL3542265
fanetizole	CHEMBL1993793
L-670596	CHEMBL4303193
estradiol	CHEMBL135
osthol	CHEMBL52229
dimetridazole	CHEMBL38938
eletriptan	CHEMBL1510
methoxyflurane	CHEMBL1341
sulfamerazine	CHEMBL438
DY131	CHEMBL192509
tizanidine	CHEMBL1079
SB-742457	CHEMBL1083390
4-iodo-6-phenylpyrimidine	CHEMBL497802
apafant	CHEMBL280164
cefpirome	CHEMBL65794
7-methoxytacrine	CHEMBL1256415
talazoparib	CHEMBL3137320
clofibrate	CHEMBL565
NSC-3852	CHEMBL1479316
androsterone	CHEMBL87285
PF-573228	CHEMBL514554
NSC-632839	CHEMBL1990474
troxerutin	CHEMBL3182320
3-AQC	CHEMBL90769
1-azakenpaullone	CHEMBL336961
3-MPPI	CHEMBL301707
ER-27319	CHEMBL2170739
kynurenic-acid	CHEMBL299155
sulfadiazine	CHEMBL439
cyproheptadine	CHEMBL516
pramiracetam	CHEMBL159776
N6022	CHEMBL1738699
mozavaptan	CHEMBL420762
papaverine	CHEMBL19224
metyrapone	CHEMBL934
ID-8	CHEMBL3185434
oxiracetam	CHEMBL36633
bupranolol	CHEMBL305380
stepronin	CHEMBL2107531
metrizamide	CHEMBL462394
metrizamide	CHEMBL1200889
narasin	CHEMBL2104423
flunixin-meglumin	CHEMBL1733447
S-Isopropylisothiourea	CHEMBL483091
sulconazole	CHEMBL1221
LFM-A13	CHEMBL228043
SPP301	CHEMBL3989834
amitriptyline	CHEMBL629
carbamazepine	CHEMBL108
SB-205384	CHEMBL1256667
2-thiouracil	CHEMBL1650608
flubendazole	CHEMBL1454946
cariprazine	CHEMBL2028019
efinaconazole	CHEMBL2103877
esculin	CHEMBL482581
caroverine	CHEMBL1729803
domperidone	CHEMBL219916
TAK-733	CHEMBL1615025
calcium-levofolinate	CHEMBL1908361
GSK429286A	CHEMBL375312
proxymetacaine	CHEMBL1196
tavaborole	CHEMBL443052
WB-4101	CHEMBL25554
tetramisole	CHEMBL277775
celiprolol	CHEMBL27810
parachlorophenol	CHEMBL57053
CB-10-277	CHEMBL422037
chlorothiazide	CHEMBL842
veliparib	CHEMBL506871
urapidil	CHEMBL279229
SB-408124	CHEMBL1334465
erythromycin	CHEMBL532
cefetamet-pivoxil	CHEMBL4303443
isoleucine	CHEMBL1233584
granisetron	CHEMBL289469
tenatoprazole	CHEMBL1475252
sodium-stibogluconate	CHEMBL3991035
adoprazine	CHEMBL221692
lupanine	CHEMBL459396
alvespimycin	CHEMBL383824
gliquidone	CHEMBL383634
voreloxin	CHEMBL68117
BMS-649	CHEMBL112715
spermidine	CHEMBL19612
dexrazoxane	CHEMBL1738
abametapir	CHEMBL2205807
cefoselis	CHEMBL2105940
U-0124	CHEMBL97858
MK-2206	CHEMBL1079175
piribedil	CHEMBL1371770
calcitriol	CHEMBL846
WAY-161503	CHEMBL301466
butyl-paraben	CHEMBL459008
PR-619	CHEMBL4303622
kinetin	CHEMBL228792
N-[2-(Piperidinylamino)ethyl]-4-iodobenzamide	CHEMBL1601095
olsalazine	CHEMBL425
org-27569	CHEMBL1553629
licarbazepine	CHEMBL1067
sorbinil	CHEMBL266497
CAY10505	CHEMBL590022
SYM-2081	CHEMBL288166
PF-05212384	CHEMBL592445
GW-9508	CHEMBL207881
trioxsalen	CHEMBL1475
diftalone	CHEMBL1536675
cetrimonium	CHEMBL1183605
8-hydroxy-PIPAT	CHEMBL284716
exatecan-mesylate	CHEMBL3989759
telatinib	CHEMBL2079588
BRD4770	CHEMBL3970748
pyrithione-zinc	CHEMBL1356238
pyrithione-zinc	CHEMBL1650619
icaritin	CHEMBL498485
lurasidone	CHEMBL1237021
piroximone	CHEMBL58355
refametinib	CHEMBL1236682
salidroside	CHEMBL465208
VER-49009	CHEMBL365617
RS-504393	CHEMBL134074
tioguanine	CHEMBL727
cefpiramide	CHEMBL1201204
tesaglitazar	CHEMBL282686
ameltolide	CHEMBL22916
birinapant	CHEMBL3039522
chlortetracycline	CHEMBL404520
salvianolic-acid-B	CHEMBL541265
DMNB	CHEMBL1332518
TAK-715	CHEMBL363648
althiazide	CHEMBL599870
canertinib	CHEMBL31965
telithromycin	CHEMBL1136
butylphthalide	CHEMBL248594
oxypurinol	CHEMBL859
daptomycin	CHEMBL387675
guacetisal	CHEMBL2105097
asunaprevir	CHEMBL2105735
methoxamine	CHEMBL524
sphingosylphosphorylcholine	CHEMBL1481114
chloropyramine	CHEMBL1194287
salubrinal	CHEMBL180127
norethindrone-acetate	CHEMBL1201146
GSK1904529A	CHEMBL466397
5-iodo-A-85380	CHEMBL123433
teroxirone	CHEMBL453863
SGI-1027	CHEMBL2336409
alacepril	CHEMBL2103775
mevastatin	CHEMBL54440
fomocaine	CHEMBL1407844
taladegib	CHEMBL2142592
phenacetin	CHEMBL16073
levocabastine	CHEMBL1615438
tetrabenazine	CHEMBL117785
PF-3274167	CHEMBL594828
WYE-354	CHEMBL561708
gestrinone	CHEMBL1868702
TPCA-1	CHEMBL257167
avagacestat	CHEMBL1090771
citiolone	CHEMBL2104457
bemegride	CHEMBL1214192
SB-743921	CHEMBL2325429
PSB-1115	CHEMBL8565
bucladesine	CHEMBL485980
pelitinib	CHEMBL607707
caramiphen	CHEMBL61946
sibutramine	CHEMBL1419
baicalein	CHEMBL8260
pomalidomide	CHEMBL43452
methacholine	CHEMBL978
carboxyamidotriazole	CHEMBL95431
SKF-86002	CHEMBL313417
dofequidar	CHEMBL65067
INCB-024360	CHEMBL3545369
paricalcitol	CHEMBL1200622
CX-516	CHEMBL136800
rutaecarpine	CHEMBL85139
sodium-butyrate	CHEMBL62381
pyridoxamine	CHEMBL593019
oseltamivir-carboxylate	CHEMBL674
cardiogenol-c	CHEMBL1241078
taselisib	CHEMBL2387080
zaltidine	CHEMBL70209
ribitol	CHEMBL3137744
ribitol	CHEMBL1865120
ribitol	CHEMBL96783
monobenzone	CHEMBL1388
SB-271046	CHEMBL431298
WAY-362450	CHEMBL454138
clomifene	CHEMBL2355051
bupropion	CHEMBL894
carebastine	CHEMBL67654
VU0364770	CHEMBL556667
S26948	CHEMBL4303501
hydroxystilbamidine	CHEMBL1301
CRT0044876	CHEMBL1870764
KU-55933	CHEMBL222102
schisandrin-b	CHEMBL479488
doxofylline	CHEMBL1527608
8-bromo-cGMP	CHEMBL1741141
tyrphostin-AG-1478	CHEMBL7917
phenprocoumon	CHEMBL16694
phenprocoumon	CHEMBL1465
ipratropium	CHEMBL1621597
sodium-gualenate	CHEMBL1837010
flupentixol	CHEMBL54661
lafutidine	CHEMBL1742461
corticosterone	CHEMBL110739
clindamycin-phosphate	CHEMBL3184512
azimilide	CHEMBL123558
terconazole	CHEMBL1306
zometapine	CHEMBL174697
dapoxetine	CHEMBL2110900
azathioprine	CHEMBL1542
olmesartan	CHEMBL1516
LY223982	CHEMBL49302
terazosin	CHEMBL611
vanoxerine	CHEMBL281594
PD-166793	CHEMBL43152
deserpidine	CHEMBL1200515
fenbufen	CHEMBL277522
PF-04457845	CHEMBL1651534
gallic-acid	CHEMBL288114
L-Arginine	CHEMBL1485
loreclezole	CHEMBL1397886
nifuroxazide	CHEMBL244888
sulfamethoxypyridazine	CHEMBL268869
brivudine	CHEMBL31634
oxyphenonium	CHEMBL1201286
vanitiolide	CHEMBL1380480
glutathione	CHEMBL1543
oleanolic-acid	CHEMBL168
cefonicid	CHEMBL1601
preclamol	CHEMBL7549
estriol	CHEMBL193482
fulvestrant	CHEMBL1358
HMN-214	CHEMBL3545431
brivaracetam	CHEMBL607400
lobendazole	CHEMBL2105088
hydrocortisone-valerate	CHEMBL1200562
benurestat	CHEMBL2105796
disulfiram	CHEMBL964
oxprenolol	CHEMBL546
butein	CHEMBL128000
oxybenzone	CHEMBL1625
macitentan	CHEMBL2103873
propoxur	CHEMBL446060
piketoprofen	CHEMBL2106966
menbutone	CHEMBL1972268
halothane	CHEMBL931
proscillaridin-a	CHEMBL1977418
varenicline	CHEMBL1396
ercalcitriol	CHEMBL4303615
AZD6765	CHEMBL467084
pilaralisib	CHEMBL3360203
pilaralisib	CHEMBL3218575
laurocapram	CHEMBL76591
tolazamide	CHEMBL817
MPI-0479605	CHEMBL2047943
olomoucine	CHEMBL280074
mephenesin	CHEMBL229128
dexamethasone	CHEMBL384467
anabasine	CHEMBL1526229
blonanserin	CHEMBL178803
dicloxacillin	CHEMBL893
CS-917	CHEMBL259771
anguidine	CHEMBL2005379
anguidine	CHEMBL2002916
anguidine	CHEMBL433680
flufenamic-acid	CHEMBL23588
TG-02	CHEMBL1944698
uridine	CHEMBL100259
skepinone-l	CHEMBL2152944
methylthiouracil	CHEMBL1330588
GSK650394	CHEMBL558642
deracoxib	CHEMBL28636
1-acetyl-4-methylpiperazine	CHEMBL575239
