CHEMBL296468	CID3025986
FLUFENAMATE	CID3637398
CHEMBL526003	CID101616958
(+)-DOI	CID6603801
CHEMBL1256836	CID9601084
5H3'FPE	CID71662429
CHEMBL1201108	CID216322
BIM 23050	CID44270290
CHEMBL681	CID667484
CHEMBL292779	CID6426760
Quinidine	CID441074
CHEMBL1201571	CHEMBL1201571
CHEMBL777	CID5280980
CHEMBL13647	CID2419
COMPOUND 70 [PMID: 26161824]	CID46894021
CHEMBL3545281	CID44177328
CHEMBL94631	CID5311261
CHEMBL1730	CID5742673
ISOPENTENYL DIPHOSPHATE	CID1195
CHEMBL1200826	CID11125
CHEMBL414804	CID9887054
CHEMBL2111101	CID10071196
CHEMBL961	CID8987
CHEMBL1555	CID60206644
CHEMBL3545283	CID9952923
CHEMBL1743004	CHEMBL1743004
CHEMBL3545221	CHEMBL3545221
MI-1148	CID91758390
CHEMBL1554789	CID716121
M1151	CID2828347
ZK-THIAZOLIDINONE	CID73442801
CHEMBL1200851	CID10429215
CHEMBL38288	CID6604840
PF-06651600	CID118115473
ME0328	CID135566764
CHEMBL3545108	CID10161381
CHEMBL278865	CID148842
CHEMBL1835919	CID46926360
CHEMBL585	CID5546
CHEMBL429876	CID176873
CHEMBL472	CID3488
CHEMBL1956070	CID9911652
CHEMBL634	CID51263
CHEMBL282457	CID451416
CHEMBL1090771	CID46883536
CHEMBL356359	CID177336
ZK118182	CID5311208
CHEMBL1184904	CID11534420
CHEMBL1371	CID2733
CHEMBL1201255	CID25077993
CHEMBL2106195	CID6918081
CHEMBL513	CID2578
CGP 23996	CID16130961
CHEMBL3545065	CID66906051
CHEMBL2103979	CID101656156
CHEMBL1200464	CID22169
CHEMBL1201577	CHEMBL1201577
CHEMBL1200368	CID6957673
CHEMBL193482	CID5756
CHEMBL1783282	CID23581869
CHEMBL1693	CID46873833
CHEMBL28000	CID131907
CHEMBL2324347	CID3601086
CHEMBL1863513	CID6918670
CHEMBL3545399	CHEMBL3545399
CHEMBL356769	CID6675804
SC-435	CID73755225
COMPOUND 8H [PMID: 21561767]	CID46864270
CHEMBL2358147	CID6433356
BIM 23023	CID14720895
COMPOUND 42 [PMID: 22420767]	CID73755156
COMPOUND 3 [PMID: 26191365]	CID117072547
CHEMBL738	CID12832575
CHEMBL998	CID3957
CHEMBL2110824	CID50225
CHEMBL3545257	CID81689826
CHEMBL2107143	CID123628
R121919	CID9821250
CHEMBL580	CID3958
CHEMBL1504	CID6436
CHEMBL2027925	CID9805719
CHEMBL2103824	CID12082259
2-AMINO-4-METHYLPYRIDINE	CID1533
CHEMBL1908371	CID57391679
CHEMBL273636	CID9868551
27-HYDROXYCHOLESTEROL	CID123976
CHEMBL2107866	CHEMBL2107866
CHEMBL1201091	CID9803362
CHEMBL104049	CID6437063
CHEMBL2104991	CID121513963
CHEMBL1200440	CID657372
CHEMBL267936	CID4032
CHEMBL2103871	CID56843791
CL316243	CID5312115
CHEMBL46618	CID5496659
CHEMBL309760	CID6604042
CHEMBL1637	CID44558863
CHEMBL275667	CID9864831
CHEMBL3188551	CID56949517
CHEMBL1094636	CID24958200
CHEMBL3039529	CID23729157
CHEMBL649	CID39147
CHEMBL1332062	CID156314
CHEMBL2108465	CHEMBL2108465
CHEMBL1200854	CID3388
CHEMBL3545161	CHEMBL3545161
CHEMBL1165259	CID46906163
CHEMBL539423	CID10257882
CHEMBL1297	CID3342
CHEMBL238465	CID10131048
CHEMBL358653	CID9933831
GLPG1690	CID90420193
CHEMBL107400	CID9862248
HE3286	CID16739648
(-)-CYCLAZOCINE	CID21779964
GSK-923295	CID46898058
CHEMBL1201496	CID118984445
CHEMBL826	CID3229
ABT-089	CID178052
CHEMBL120526	CID6321351
CHEMBL277642	CID6436265
CHEMBL415049	CID11497983
CHEMBL27441	CID122334
CHEMBL47	CID14985
CHEMBL101253	CID151194
CHEMBL488638	CID11637190
(S)-ARN2508	CID117072556
CHEMBL33986	CID5361092
COMPOUND 27 [PMID: 18337095]	CID44453397
BRILLIANT BLUE G	CID6324599
CHEMBL2393130	CID135564749
CHEMBL476833	CID4302962
(5E)-1-(4-FLUOROPHENYL)-5-[(5-METHYLTHIOPHEN-2-YL)METHYLIDENE]-2-SULFANYLIDENE-1,3-DIAZINANE-4,6-DIONE	CID1389577
CHEMBL308716	CID121879
CHEMBL2109047	CHEMBL2109047
CAROTENOID	CHEBI:139120
CHEMBL3301607	CID49831257
CHEMBL1626570	CID101587
CHEMBL1743075	CHEMBL1743075
CHEMBL324547	CID9870520
CHEMBL2109065	CHEMBL2109065
CHEMBL2107846	CHEMBL2107846
CHEMBL953	CID5281081
CHEMBL730	CID4510
CHEMBL1933348	CID5311277
CHEMBL45	CID896
CHEMBL3707297	CHEMBL3707297
CHEMBL92	CID148124
CHEMBL765	CID3518
METOPROLOL	CID4171
CHEMBL2108370	CHEMBL2108370
LX1032	CID25181577
CHEMBL41275	CID183789
CHEMBL457	CID3463
CHEMBL692	CID753
CHEMBL1512	CID82153
CHEMBL3622820	CID53380437
CHEMBL289351	CID56605008
CHEMBL512351	CID10275777
CHEMBL33549	CID9998187
CHEMBL25236	CID3038495
COMPOUND 1 [PMID: 25719566]	CID50967109
CHEMBL1237082	CID13221
CHEMBL570	CID5568
CHEMBL414157	CID216466
CHEMBL324218	CID6918424
CHEMBL2103864	CID11281445
CHEMBL3545272	CHEMBL3545272
CHEMBL3545193	CHEMBL3545193
CHEMBL3545092	CHEMBL3545092
CHEMBL14227	CID264
CHEMBL302449	CID3501
CHEMBL247132	CID256208
CHEMBL270738	CID9818802
ALPHA-METHYL-P-TYROSINE	CID3125
CHEMBL266591	CID1574
CHEMBL914	CID3348
CHEMBL392149	CID158795
CHEMBL317090	CID9830503
Cisplatin	CID84691
CHEMBL1201593	CHEMBL1201593
(+)-HA966	CID6603720
(R)-ARN2508	CID117072557
HEPATITIS B VACCINE	CHEMBL2109163
CHEMBL2372767	CID73353287
DAB	CID7071
CHEMBL3707397	CHEMBL3707397
CHEMBL336208	CID5310983
CEPHALOSTATIN	CHEBI:69376
COMPOUND 9G [PMID: 24412111]	CID72944991
CHEMBL1800955	CID11689883
CHEMBL2218896	CID39860
CHEMBL1095699	CID135445673
CHEMBL425190	CID10287730
CHEMBL604991	CID45104657
CHEMBL3545080	CHEMBL3545080
CHEMBL17423	CID5663
CHEMBL1766582	CID54580957
CHEMBL3307195	CID24958313
CHEMBL2107725	CID9831652
CHEMBL1200612	CID6078
CHEMBL31634	CID446727
MUSTARD	CID10461
CHEMBL1236189	CID545
CHEMBL501711	CID441298
CHEMBL575448	CID24785538
CHEMBL15245	CID8969
CHEMBL506871	CID11960529
CHEMBL56564	CID656665
CHEMBL128	CID5358
CHEMBL497834	CID473141
CHEMBL2110731	CID46908929
CHEMBL93	CID60490
CHEMBL533	CID60753
CHEMBL3301624	CID11993702
CHEMBL3110004	CID53344908
CHEMBL3545027	CID56931136
BO1	CID3320547
2-THIO-UDP	CID16082712
CHEMBL847	CID4612
CHEMBL2109406	CHEMBL2109406
CHEMBL3360203	CID56599306
CHEMBL429844	CID448281
CHEMBL1200383	CHEMBL1200383
CHEMBL1695	CID74765398
CHEMBL1722209	CID9847786
LEUCETTINE L41	CID135398522
CHEMBL1144	CID54687
CHEMBL190461	CID644019
COMPOUND 9B [PMID: 18986805]	CID11675054
L6	CID7573771
CHEMBL331237	CID65399
CHEMBL1276138	CID4118151
CHEMBL3545335	CID9934283
CHEMBL2364655	CHEMBL2364655
AC710	CID54760053
CHEMBL2108893	CHEMBL2108893
BLEOMYCIN A5	CID10057320
CHEMBL105442	CID6918454
CHEMBL1201619	CHEMBL1201619
CHEMBL3545179	CID25115967
CHEMBL11672	CID54676478
CHEMBL177	CID37768
CHEMBL605003	CID5312137
CHEMBL2220404	CID20838637
CHEMBL278819	CID4199
PSB603	CID44185871
CHEMBL2104986	CID9878913
CHEMBL1289113	CID24763119
CHEMBL2103815	CID44146842
CHEMBL20226	CID10033203
CHEMBL1289494	CID9911830
1DME	CID132709
CHEMBL3137320	CID135565082
CHEMBL2146133	CID9601083
CHEMBL714	CID2083
CHEMBL157769	CID9895647
CHEMBL1697838	CID9565
CHEMBL2023898	CID25154714
A-196	CID117072548
CHEMBL74415	CID2543
CHEMBL1201264	CID4097
ZM 253270	CID9826055
CHEMBL240624	CID10117987
CITARINOSTAT	CID53340426
CHEMBL357834	CID16219283
CHEMBL1201486	CHEMBL1201486
CHEMBL154111	CID5161
NEUROMEDIN U-8	CID10351235
CHEMBL2105987	CID57050
SB-756050	CID1520267
CHEMBL1951415	CID11681588
LLY-283	CID122669401
CHEMBL2108326	CID16197725
CHEMBL1200521	CID123607
CHEMBL29811	CID5950212
CHEMBL2105743	CID11711522
CHEMBL1454	CID26879
CHEMBL460	CID23897
CHEMBL1750	CID119182
CHEMBL2104585	CID65781
CHEMBL3545284	CID44595079
CHEMBL838	CID40466887
CHEMBL6	CID3715
CHEMBL2108967	CHEMBL2108967
6-FLUOROMEVALONATE PYROPHOSPHATE	CID44306087
CHEMBL1173655	CID10184653
VU0090157	CID2882724
CHEMBL1706	CID4436
CHEMBL2103822	CID10220503
CHEMBL1395	CID6010
CHEMBL1237	CID11865407
CHEMBL1900528	CID5487427
CHEMBL2108349	CID44201346
CHEMBL2096643	CID70693444
CHEMBL506981	CID119192
I-BRD9	CID91668541
CHEMBL431651	CID178103
CHEMBL691	CID5991
CHEMBL75880	CID4746
CHEMBL2109334	CHEMBL2109334
CHEMBL52609	CID5789
CHEMBL2107911	CHEMBL2107911
CHEMBL2346738	CID44557636
CHEMBL1200893	CID8699
ISA-2011B	CID49853637
CHEMBL211456	CID9294
CHEMBL3545006	CHEMBL3545006
CHEMBL1201765	CID9849808
CHEMBL415606	CID16136245
CHEMBL2104993	CID9966051
CHEMBL596	CID3345
NMS-P715	CID44556162
CHEMBL2108313	CHEMBL2108313
CHEMBL3545412	CHEMBL3545412
TAXOTERE	CID148124
CHEMBL1232082	CID9842556
CHEMBL18041	CID108182
CHEMBL3545365	CID54576299
CHEMBL407217	CID310378
CHEMBL37676	CID99479
CHEMBL2135460	CID72081
CHEMBL1738889	CID11326715
COMPOUND 51 [PMID: 19743866]	CID46883596
CHEMBL409	CID2375
CHEMBL1201167	CID9827459
CHEMBL1200916	CID657213
CHEMBL31965	CID156414
CHEMBL1256786	CID3410
CHEMBL60851	CID6227
CHEMBL3545290	CHEMBL3545290
CHEMBL274047	CID91273
CHEMBL18901	CID122335
CHEMBL2030402	CID135564632
CHEMBL274226	CID656723
COMPOUND 2C [PMID: 24900538]	CID59627005
COMPOUND 8A [PMID: 24900283]	CID56840673
CHEMBL1200791	CID66259
SC-51089	CID132748
CHEMBL226403	CID10389239
CHEMBL2346725	CID71580330
CHEMBL129	CID35370
MRS4183	CID124221652
CHEMBL1200764	CID6114
ACDPP	CID16759169
CHEMBL2107339	CID6451144
NEOCEPTIN-3	CID90371379
CHEMBL1075	CID34633
CHEMBL19	CID4100
CHEMBL1568	CID657237
CHEMBL1200876	CID46878539
MT47-100	CID91938093
CHEMBL597997	CID24952929
PD-135158	CID122119
CHEMBL1201608	CHEMBL1201608
CHEMBL435224	CID9874248
CHEMBL3039530	CID11962616
LIGNAN	CID261166
CHEMBL1729	CID2769
FK 224	CID6437864
E-3810	CID25031915
CHEMBL1200665	CID6432394
CHEMBL1743048	CHEMBL1743048
CHEMBL395336	CID135398570
CHEMBL1356607	CID11957447
CHEMBL2103803	CID46174144
CHEMBL3039597	CID9898639
CHEMBL273807	CID6603931
CHEMBL3545081	CHEMBL3545081
CHEMBL1170	CID5995
CHEMBL2107821	CID25221720
CHEMBL266510	CID214350
CHEMBL2203843	CID54758482
CHEMBL1457	CID5284569
CHEMBL1215661	CID6433122
COMPOUND 1E [PMID: 27285276]	CID5397593
CHEMBL1213187	CID197584
[14C]ALANINE	CID5950
CHEMBL1374379	CID7699
CHEMBL450940	CID656954
CHEMBL1162175	CID11273179
CHEMBL1200584	CID23690428
CHEMBL411557	CID44298303
CHEMBL2109608	CHEMBL2109608
COMPOUND 1 [WO2012007375]	CID58056241
CHEMBL984	CID5281080
CHEMBL490	CID43815
PF-3758309	CID25227462
CHEMBL119	CID5583
FACTOR IX	CHEMBL2109098
CHEMBL476186	CID11634458
CHEMBL1590	CID7028
CHEMBL1332032	CID9458
R343	CID2453
CHEMBL1437	CID439260
CHEMBL416340	CID636
COMPOUND 22 [PMID: 21823616]	CID51051074
COMPOUND 19 [PMID: 8831774]	CID44353781
CHEMBL592675	CID1548994
CHEMBL437797	CID5311312
CHEMBL76688	CID107706
COMPOUND 4G [PMID: 22595175]	CID66561876
CHEMBL3137353	CHEMBL3137353
CHEMBL2110954	CID6433106
CHEMBL1615438	CHEMBL1615438
HYDROXYZINE	CID3658
CHEMBL1743062	CHEMBL1743062
CHEMBL481537	CID1345
CHEMBL550577	CID11950660
CHEMBL412262	CID9826744
CHEMBL1356280	CID3034814
CHEMBL1186579	CID5361918
CHEMBL553025	CID5311497
CHEMBL1743063	CHEMBL1743063
CHEMBL3137310	CID76322220
(+)-ACECLIDINE	CID6954180
[32P]MRS2500	CID91827341
CHEMBL1008	CID2351
CHEMBL2105737	CID24775005
CHEMBL1007	CID638793
CHEMBL225411	CID10253143
CHEMBL45816	CID60663
CHEMBL12296	CID127856
CHEMBL1201206	CID50192
CHEMBL1089636	CID46884921
CHEMBL2031465	CID11373432
CHEMBL3545114	CHEMBL3545114
CHEMBL1200996	CID5702236
CHEMBL1961797	CID57394021
CHEMBL488436	CID16747683
CHEMBL2104054	CID26035
LG100754	CID6442223
CHEMBL288174	CID6603900
CHEMBL1200950	CID19004
CHEMBL2105643	CID10186184
CHEMBL1200363	CID6917868
CHEMBL1765740	CID46215815
CALCIDIOL	CID5283731
CHEMBL70611	CID60876
CHEMBL1201731	CID9933004
COMPOUND 38 [PMID: 20817473]	CID11847343
CHEMBL2105741	CID50992434
CHEMBL2107830	CID11949646
O-1602	CID45073499
L-764406	CID9818466
CHEMBL229430	CID16007367
FACTOR VIII	CHEMBL2109099
CHEMBL3545151	CHEMBL3545151
GW-2580	CID11617559
CHEMBL895	CID5311304
CHEMBL1200492	CID25137870
CHEMBL1316	CID2581
CHEMBL1201048	CID224004
CHEMBL10878	CID82148
COMPOUND 24 [PMID: 16451050]	CID10296561
CHEMBL669	CID2895
CHEMBL1456	CID5281078
CHEMBL1200574	CID5234
CHEMBL204021	CID9939609
CHEMBL2108119	CHEMBL2108119
CHEMBL448343	CID9833984
CHEMBL1371770	CID4850
CHEMBL1131	CID5284513
CHEMBL1655	CID3005573
CHEMBL108939	CID9825084
CHEMBL1709	CID11078406
CHEMBL1676	CID9854489
CHEMBL1200430	CID9818306
CHEMBL262075	CID6450813
CHEMBL107367	CID170364
CHEMBL1200877	CID443980
CHEMBL1582	CID6011
CHEMBL1600780	CID5311036
CHEMBL2105377	CID71785
CHEMBL181244	CID10044321
CHEMBL3545133	CID11952856
CHEMBL300138	CID176167
CHEMBL1476646	CID6057678
CHEMBL195345	CID16727408
CHEMBL928	CID13271066
CHEMBL2108709	CHEMBL2108709
CHEMBL322970	CID4210951
CHEMBL12704	CID12656
CHEMBL1078178	CID25062766
CHEMBL136478	CID73415791
AS1411	CID121494112
CHEMBL285674	CID3261
KAI-9803	CID56843747
CHEMBL525191	CID11717001
CHEMBL268697	CID3585
CHEMBL2024567	CID46242512
CHEMBL1501	CID9642
CHEMBL270995	CID11154925
CHEMBL486030	CID44560288
CHEMBL68055	CID155435
CHEMBL26291	CID20628
[LEU]ENKEPHALIN	CID3903
AVN-101	CID42631003
CHEMBL1083385	CID60606
CHEMBL14638	CID6422124
CHEMBL507824	CID124003
SALVICINE	CID10359290
[3H]BWA868C	CID122021
CHEMBL597	CID5775
CHEMBL3182621	CID16666708
CHEMBL1940832	CID9892481
CHEMBL3545330	CID11687907
CHEMBL2107583	CID5284553
CHEMBL3039598	CID9601226
CHEMBL2108811	CHEMBL2108811
CHEMBL276727	CID3727
SULFONE	CHEBI:53729
CHEMBL3545367	CID56944144
CHEMBL1393	CID5833
CHEMBL1433	CID54671203
CHEMBL191482	CID6918848
CHEMBL1237102	CID54384
CHEMBL52030	CID5311203
CHEMBL412142	CID9956119
MJN228	CID22660592
CHEMBL1020	CID5509
CHEMBL36715	CID4843
CHEMBL1065	CID9681
CHEMBL605846	CID11504295
GE-137	CID91827375
CHEMBL2103826	CID9832404
CHEMBL1743041	CHEMBL1743041
CHEMBL339858	CID5487529
CHEMBL1116	CID130369161
CHEMBL1201032	CID77997
CHEMBL3545274	CID118753642
IPI-926	CID25027363
AZD3463	CID56599293
CHEMBL56	CID1220
CHEMBL50894	CID5005498
CHEMBL53929	CID4581
CHEMBL930	CID6992086
CHEMBL253969	CID9811611
CHEMBL3184679	CID57430866
GW848687X	CID10238338
CHEMBL1139	CID5282411
COMPOUND 10 [PMID: 18759424]	CID23577110
JNJ-28312141	CID11676971
CHEMBL22	CID5578
ADRIAMYCIN	CID31703
CHEMBL796	CID4158
CHEMBL334920	CID9873570
CHEMBL1790415	CID9810600
CHEMBL2109084	CHEMBL2109084
CHEMBL397420	CID54676537
CHEMBL1200993	CID6172
CHEMBL1631540	CID11292933
CHEMBL544665	CID107969
CHEMBL41306	CID192711
CHEMBL33567	CID179394
GR 63799	CID5311224
CHEMBL51483	CID3503
CHEMBL1518572	CID121926
CHEMBL1201775	CID135409471
DOX	CID31703
CHEMBL160519	CID4916
NB-598	CID6443223
L-GLUTAMIC ACID	CHEBI:16015
CHEMBL226335	CID5280805
CHEMBL563	CID3394
CHEMBL2109390	CHEMBL2109390
STO609	CID3467590
TC-5214	CID12358971
CHEMBL1208085	CID44182294
CHEMBL418834	CID9995893
CHEMBL1378	CID5440
AVN-211	CID44155874
CHEMBL1549	CID223253
CHEMBL2109330	CHEMBL2109330
CHEMBL1201752	CID6445540
AZD4619	CID58679582
CHEMBL1201234	CID3677
CHEMBL1385076	CID2440433
CHEMBL2170470	CID57336747
CHEMBL1373	CID4236
CHEMBL2109151	CHEMBL2109151
CHEMBL1200387	CID20567238
CHEMBL191703	CID441082
CHEMBL477	CID60961
[3H](+)-ISRADIPINE	CID158617
CHEMBL1721885	CID10138259
CHEMBL1801250	CID49857317
CI-1033	CID156414
CHEMBL1237023	CHEMBL1237023
CHEMBL276832	CID3637
CHEMBL2105720	CID53465279
CHEMBL1200604	CID5593
CHEMBL305686	CID6303
CHEMBL1683	CID26133
CHEMBL174588	CID11313361
CHEMBL449588	CID25150014
PLATINUM	CID23939
CHEMBL1518	CID657298
SUFINPYRAZONE	CID5342
CHEMBL402548	CID11442891
CHEMBL701	CID2284
CHEMBL301265	CID119570
CHEMBL2386889	CID46239015
ZINC PYRITHIONE	CID3005837
CHEMBL291278	CID22880
[3H]D-ASPARTIC ACID	CID83887
CHEMBL1233457	CID5312804
CHEMBL709	CID2092
CHEMBL1102	CID3487
CHEMBL231779	CID10182969
CHEMBL1561	CID441314
CHEMBL3545308	CID57335384
COMPOUND 23 [PMID: 17600705]	CID23657507
RETINYL PALMITATE	CID5280531
CHEMBL1200806	CID23681059
CHEMBL3545250	CHEMBL3545250
CHEMBL290376	CID122296
CHEMBL1200323	CID657196
PF-04852946	CID46213069
CHEMBL1363	CID3083544
COMPOUND 4D [PMID: 25489658]	CID90170031
CHEMBL1717	CID11301025
CHEMBL1201506	CHEMBL1201506
DFMO	CID3009
CHEMBL330546	CID107689
CXB909	CID9902638
CHEMBL3707347	CID54767229
CHEMBL459	CID6919173
CHEMBL511099	CID47953
CHEMBL783	CID5311309
CHEMBL2108985	CID71587700
CHEMBL1743087	CHEMBL1743087
CHEMBL431	CID5311447
CHEMBL1200437	CID94328
AS70	CID135443367
CHEMBL371811	CID6604893
CHEMBL3301609	CID23650961
CHEMBL1774080	CID11697676
GSK2879552	CID66571643
CHEMBL1201741	CID135566052
EMA401	CID9937291
CHEMBL500	CID4828
CHEMBL2035187	CID46216796
GSK2190915	CID44473151
CHEMBL521686	CID23725625
PENECA	CID9953255
CHEMBL2108475	CHEMBL2108475
CHEMBL1472830	CID5312153
CHEMBL1679	CID135403648
CHIR-98014	CID53396311
CHEMBL989	CID6215
CHEMBL2108767	CHEMBL2108767
CHEMBL2108509	CHEMBL2108509
LYSOPHOSPHATIDYLETHANOLAMINE	CID73755142
CHEMBL54661	CID5281881
CHEMBL2108345	CHEMBL2108345
CHEMBL2179529	CID24795080
CHEMBL170	CID3034034
CHEMBL1201130	CID11545
CHEMBL2074655	CID135415876
CHEMBL1560	CID44093
CHEMBL3301600	CID74892828
CHEMBL419667	CID60943
CHEMBL8	CID2764
CHEMBL2109516	CHEMBL2109516
CHEMBL217803	CID10174453
BRL 44408	CID121850
CHEMBL2364651	CHEMBL2364651
NEUROTROPHIC FACTOR	CHEMBL4298063
KW-3635	CID23673318
CHEMBL710	CID57363
CHEMBL506	CID4908
CHEMBL1201557	CHEMBL1201557
CHEMBL1201159	CID83932
CHEMBL1714	CID60207523
CHEMBL118	CID2662
CHEMBL507361	CID9826528
FDG	CID122063
CHEMBL2063869	CID46940575
CHEMBL549	CID2771
CHEMBL3545050	CHEMBL3545050
LTB4	CID5280492
CHEMBL399043	CID135403829
CHEMBL1201568	CID119525
CHEMBL2096742	CID70691332
CHEMBL10372	CID1613
NN-DIMETHYL-D-ERYTHROSPHINGOSINE	CID6438166
GD3+	CHEBI:78436
CHEMBL414173	CID25078060
NSC 157449	CID3618472
CHEMBL439780	CID9956886
CHEMBL286494	CHEMBL286494
LEIUROTOXIN I	CID71311759
CHEMBL1201338	CID2905
CHEMBL1697690	CID9887351
CHEMBL1372950	CID34040
CHEMBL2311030	CID71717894
INCB3619	CID11625778
CHEMBL3545337	CID6918316
CHEMBL7303	CID2230
DAVP	CID27991
CHEMBL1388	CID7638
COMPOUND 69 [PMID: 19136975]	CID25105713
CHEMBL317052	CID219024
CHEMBL349803	CID4849
CHEMBL2023109	CID46200989
CHEMBL807	CID4054
CHEMBL501134	CID56947150
CHEMBL1201772	CID6918456
CHEMBL228528	CID44426473
CHEMBL1615372	CID139083514
CHEMBL2111290	CID44147413
CHEMBL1201575	CHEMBL1201575
VU0361737	CID44191096
CHEMBL2153161	CID60148519
CHEMBL2107823	CID46213929
CHEMBL1234624	CID8420
CHEMBL1680	CID448601
CY3B-TELENZEPINE	CID91827377
CHEMBL1080588	CID11624499
CHEMBL1140	CID936
CHEMBL1688243	CID49871007
CHEMBL76	CID2719
AVICINE	CID356657
CHEMBL116590	CID2344
PICLIDENOSON	CID123683
CHEMBL440	CID3032285
CHEMBL1200	CID4633
R547	CID6918852
CHEMBL39664	CID68736
CHEMBL717	CID6279
CHEMBL3545287	CHEMBL3545287
CHEMBL130499	CID10832101
CHEMBL286080	CID1242
CHEMBL1551	CID31401
CHEMBL186	CID5479537
MRS2365	CID90488743
CHEMBL814	CID5324346
CHEMBL3137312	CID56640146
CHEMBL58323	CID219078
CHEMBL1200606	CID21467
CHEMBL3707399	CHEMBL3707399
CHEMBL1389	CID13109
CHEMBL623	CID4449
LY-362884	CID9870239
CHEMBL1648	CID3784
CHEMBL502620	CID86289437
CHEMBL464651	CID54726845
CHEMBL279561	CID44272569
CHEMBL1614	CID28620
PROTOPORPHYRIN	CID4971
CHEMBL267648	CID6919009
CHEMBL3545241	CID46892373
CHEMBL1207374	CID135398640
CHEMBL3039507	CID24831714
CHEMBL3545025	CHEMBL3545025
P505-15	CID44462758
CHEMBL1201185	CID6918011
L-CCG-I	CID1271
CHEMBL3545303	CID135451068
CHEMBL78871	CID44317739
CHEMBL257167	CID9903786
CHEMBL2105732	CID6917778
CHEMBL2219416	CID56959086
CHEMBL32350	CID68802
NBI27914	CID176157
[3H]SCH 58261	CID176408
CHEMBL423	CID2369
CHEMBL274826	CID2193
CHEMBL1200386	CID6714002
CHEMBL15967	CID1048
CHEMBL3137331	CID25117126
CHEMBL34155	CID4838
CHEMBL146506	CID5467732
CHEMBL1200338	CID55329
CHEMBL1165268	CID3739
CHEMBL1126	CID23668834
CHEMBL273481	CID4266
CHEMBL537669	CID6169
CHEMBL3545410	CID44511587
CHEMBL1291	CID31477
CHEMBL1168	CID6992028
CHEMBL1070	CID4409
CHEMBL98350	CID3973
CHEMBL3545227	CID11247522
CHEMBL2164602	CID46863664
CHEMBL2040682	CID6918155
CHEMBL443728	CID23666345
NTE-1	CID91801116
CHEMBL1377	CID4923
CHEMBL408194	CID11404337
CHEMBL3707227	CHEMBL3707227
COMPOUND 16 [PMID: 20947351]	CID50908800
CHEMBL2103830	CID11671467
CHEMBL3545289	CID6398473
CHEMBL417016	CID6134
CHEMBL584	CID64143
CHEMBL597557	CID46233650
COMPOUND 2-1-1 [PMID: 24900824]	CID72202254
CHEMBL1081913	CID11462546
CHEMBL193240	CID449193
CHEMBL22304	CID1228
CHEMBL3545409	CHEMBL3545409
CHEMBL3545088	CID15983184
CU2+	CID27099
CHEMBL46740	CID154257
CHEMBL566340	CID45486355
CHEMBL1201580	CHEMBL1201580
CHEMBL1095097	CID443872
CHEMBL2109393	CHEMBL2109393
CHEMBL99951	CID2387
AS703569	CID11569967
CHEMBL2109357	CHEMBL2109357
BRDU	CID6035
CHEMBL1200479	CID657341
CHEMBL1138	CID150311
COMPOUND 4D [PMID: 20655626]	CID46945265
CHEMBL657	CID3100
CHEMBL552212	CID11351021
COMPOUND 57 [PMID: 26155854]	CID91827383
CHEMBL3707317	CID12004146
PD-307243	CID54440733
CHEMBL410873	CID164437
CHEMBL320358	CID8094
CHEMBL1201461	CHEMBL1201461
CHEMBL480249	CID44570980
CHEMBL262489	CID11714998
CHEMBL3545226	CID11338127
CHEMBL269732	CID445643
CHEMBL1082	CID40467057
CHEMBL2105695	CID25181577
CHEMBL33884	CID119376
CHEMBL1398373	CID636397
CHEMBL331372	CID3086599
CHEMBL844	CID2435
CHEMBL417	CID41867
CHEMBL1230165	CID24748573
CHEMBL76370	CID135409453
CHEMBL2323775	CID45142457
CHEMBL1086	CID3025
OMBRABULIN	CID6918405
CHEMBL25308	CID445070
PSB36	CID11689583
ESOMEPRAZOLE	CID9568614
CHEMBL315838	CID48041
CHEMBL1223	CID23664709
CHEMBL1630	CID16051921
KINASE INHIBITOR	CID53378893
CHEMBL1200490	CID25074887
CHEMBL1200805	CID168918
CHEMBL313833	CID5530
CHEMBL3559672	CHEMBL3559672
CHEMBL1034	CID5018304
CHEMBL478629	CID11524144
CHEMBL1241	CID5587
CHEMBL3707233	CID10313162
CHEMBL415306	CID1549101
DG3173	CID9919857
COMPOUND 50 [PMID: 24313754]	CID76317442
CHEMBL1255582	CID213041
CHEMBL1575	CID259331
CHEMBL420783	CID132980
CHEMBL983	CID22475
CHEMBL2108250	CHEMBL2108250
CHEMBL385517	CID11243969
CHEMBL2375172	CHEMBL2375172
CHEMBL1201089	CID174697
CHEMBL269864	CID135449518
COMPOUND 4 [PMID: 24432870]	CID68181876
CHEMBL189475	CID11372270
CHEMBL1910970	CID54756938
CHEMBL203125	CID572
CHEMBL185	CID3385
CHEMBL235658	CID11382492
COMPOUND 14 [PMID: 19191557]	CID56947013
THC	CID16078
CHEMBL2104890	CID5311243
CHEMBL3545356	CHEMBL3545356
CHEMBL606	CID5282381
CHEMBL326418	CID10358392
CHEMBL1201010	CID225609
CHEMBL862	CID3519
CHEMBL1508	CID146570
S20	CID56947089
ALX-5407	CID6604909
COMPOUND 11J [PMID: 23021994]	CID71458575
CHEMBL1481	CID3476
CHEMBL522758	CID10065953
CHEMBL430060	CID6918328
CHEMBL10	CID176155
CHEMBL2364604	CID66577015
CHEMBL13791	CID4780
CHEMBL3707250	CID11498153
CHEMBL2103796	CID9874591
L-366,875	CID10372918
CHEMBL1200326	CHEBI:129563
